#scan;iMeasureCycle=1;iMux=0;time=0.133;N=482;LocalTime=31/10/2023 13:26:53;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;IDrain^1/2
-10.0001;1.62E-10;18.390181;1.000001;3.27E-10;18.390181;;1.80831E-05
-9.5001;1.87E-10;18.566458;0.999999;3.50E-10;18.566458;;1.87083E-05
-9;1.69E-10;18.742559;1;3.87E-10;18.742559;;1.96723E-05
-8.5;1.17E-10;18.956038;1;4.34E-10;18.956038;;2.08327E-05
-8;1.45E-10;19.132253;1;4.57E-10;19.132253;;2.13776E-05
-7.5;1.39E-10;19.30852;1;4.95E-10;19.30852;;2.22486E-05
-7;1.22E-10;19.484604;1;5.80E-10;19.484604;;2.40832E-05
-6.5;1.18E-10;19.660913;1.000001;6.20E-10;19.660913;;2.48998E-05
-6.0001;1.21E-10;19.83691;0.999999;6.05E-10;19.83691;;2.45967E-05
-5.5;1.08E-10;20.01309;0.999999;6.75E-10;20.01309;;2.59808E-05
-5;9.75E-11;20.189164;0.999999;7.30E-10;20.189164;;2.70185E-05
-4.5;1.14E-10;20.36525;1;8.20E-10;20.36525;;2.86356E-05
-4;2.68E-10;20.551738;1;9.20E-10;20.551738;;3.03315E-05
-3.5001;2.93E-10;20.727988;1;1.01E-09;20.727988;;3.17805E-05
-3;2.37E-10;20.932943;1.000001;1.09E-09;20.932943;;3.30151E-05
-2.5001;2.77E-10;21.109425;0.999999;1.09E-09;21.109425;;3.30151E-05
-2.0001;2.43E-10;21.285536;0.999999;1.22E-09;21.285536;;3.49285E-05
-1.5;1.77E-10;21.466873;1;1.36E-09;21.466873;;3.68782E-05
-1.0001;1.62E-10;21.643062;1.000001;1.44E-09;21.643062;;3.79473E-05
-0.5;1.39E-10;21.819081;1.000001;1.61E-09;21.819081;;4.01248E-05
-0.0001;1.31E-10;21.995306;1.000001;1.79E-09;21.995306;;4.23084E-05
0.4999;1.33E-10;22.171491;1;1.87E-09;22.171491;;4.32435E-05
0.9999;1.26E-10;22.347566;1;2.18E-09;22.347566;;4.66905E-05
1.5;1.29E-10;22.525425;0.999999;2.28E-09;22.525425;;4.77493E-05
1.9999;1.23E-10;22.70157;1;2.64E-09;22.70157;;5.13809E-05
2.5;1.30E-10;22.902641;1;2.77E-09;22.902641;;5.26308E-05
2.9999;1.33E-10;23.078962;1;3.15E-09;23.078962;;5.61249E-05
3.4999;1.32E-10;23.255039;0.999998;3.51E-09;23.255039;;5.92453E-05
3.9999;1.32E-10;23.468722;1.000001;3.99E-09;23.468722;;6.31664E-05
4.5;1.49E-10;23.644909;1.000002;4.57E-09;23.644909;;6.76018E-05
4.9999;1.35E-10;23.820864;0.999999;5.13E-09;23.820864;;7.1624E-05
5.5;1.54E-10;23.996971;1;5.49E-09;23.996971;;7.40945E-05
6;1.57E-10;24.173349;1.000001;5.65E-09;24.173349;;7.51665E-05
6.4999;1.57E-10;24.349527;0.999997;6.63E-09;24.349527;;8.14248E-05
7;1.73E-10;24.525779;1;6.96E-09;24.525779;;8.34266E-05
7.4999;1.69E-10;24.701882;1;7.69E-09;24.701882;;8.76926E-05
8;1.66E-10;24.871927;0.999999;8.83E-09;24.871927;;9.39681E-05
8.5;1.84E-10;25.038916;0.999998;9.47E-09;25.038916;;9.73139E-05
8.9999;1.91E-10;25.188776;1.000002;1.06E-08;25.188776;;0.000102956
9.5;1.87E-10;25.359029;0.999998;1.17E-08;25.359029;;0.000108167
9.9999;1.84E-10;25.511258;0.999998;1.31E-08;25.511258;;0.000114455
10.5;2.07E-10;25.661088;0.999999;1.45E-08;25.661088;;0.000120416
11;2.03E-10;25.810919;0.999997;1.67E-08;25.810919;;0.000129228
11.4999;2.02E-10;25.960806;1.000001;1.82E-08;25.960806;;0.000134907
12;2.08E-10;26.110754;0.999999;2.07E-08;26.110754;;0.000143875
12.4999;2.23E-10;26.26067;1.000003;2.32E-08;26.26067;;0.000152315
13;2.33E-10;26.443395;0.999997;2.50E-08;26.443395;;0.000158114
13.5001;2.27E-10;26.593444;0.999999;2.83E-08;26.593444;;0.000168226
13.9999;2.25E-10;26.743318;1.000005;3.00E-08;26.743318;;0.000173205
14.4999;2.30E-10;26.927002;0.999997;3.29E-08;26.927002;;0.000181384
15;2.28E-10;27.07692;1.000002;3.67E-08;27.07692;;0.000191572
15.4999;2.48E-10;27.226691;1.000004;3.98E-08;27.226691;;0.000199499
15.9999;2.49E-10;27.376636;1.000006;4.43E-08;27.376636;;0.000210476
16.4999;2.59E-10;27.544101;1.000003;4.96E-08;27.544101;;0.000222711
16.9999;2.64E-10;27.694007;0.999999;5.26E-08;27.694007;;0.000229347
17.4999;2.74E-10;27.843837;0.999998;5.83E-08;27.843837;;0.000241454
18;2.61E-10;27.993763;1.000002;6.27E-08;27.993763;;0.0002504
18.5;2.86E-10;28.143686;1.000003;6.83E-08;28.143686;;0.000261343
19;2.85E-10;28.293481;1.000007;7.43E-08;28.293481;;0.00027258
19.4999;2.89E-10;28.459044;0.999993;8.12E-08;28.459044;;0.000284956
20;2.94E-10;28.609032;1.000008;8.76E-08;28.609032;;0.000295973
20.5;3.06E-10;28.759041;1.000001;9.47E-08;28.759041;;0.000307734
21;2.99E-10;28.940055;1;1.01E-07;28.940055;;0.000317805
21.5;3.10E-10;29.090062;1;1.08E-07;29.090062;;0.000328634
22;3.02E-10;29.239988;1;1.14E-07;29.239988;;0.000337639
22.4999;3.18E-10;29.38997;1;1.25E-07;29.38997;;0.000353553
23;3.18E-10;29.549441;1;1.33E-07;29.549441;;0.000364692
23.5;3.19E-10;29.69947;1;1.43E-07;29.69947;;0.000378153
24;3.47E-10;29.849447;0.999999;1.51E-07;29.849447;;0.000388587
24.5;3.24E-10;29.999468;1;1.60E-07;29.999468;;0.0004
24.9999;3.50E-10;30.150441;1;1.71E-07;30.150441;;0.000413521
25.4999;3.39E-10;30.30041;1;1.80E-07;30.30041;;0.000424264
26;3.44E-10;30.464078;1;1.90E-07;30.464078;;0.00043589
26.4999;3.46E-10;30.614133;1;2.01E-07;30.614133;;0.00044833
26.9999;3.44E-10;30.764198;1;2.14E-07;30.764198;;0.000462601
27.4999;3.67E-10;30.935466;1;2.23E-07;30.935466;;0.000472229
27.9999;3.71E-10;31.085606;1;2.36E-07;31.085606;;0.000485798
28.4999;3.67E-10;31.235656;1;2.48E-07;31.235656;;0.000497996
28.9999;3.85E-10;31.385692;1;2.58E-07;31.385692;;0.000507937
29.5;3.73E-10;31.554352;1;2.72E-07;31.554352;;0.000521536
29.9999;3.76E-10;31.704354;1;2.85E-07;31.704354;;0.000533854
30.5;3.86E-10;31.854412;1;2.98E-07;31.854412;;0.000545894
30.9999;3.84E-10;32.004513;0.999999;3.12E-07;32.004513;;0.00055857
