#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=31/10/2023 11:52:45;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2(A^1/2)
12.9999;3.02E-10;26.663841;0.999999;3.10E-13;26.663841;;;5.56776E-07
13.4999;3.20E-10;26.839969;0.999999;5.00E-14;26.839969;;;2.23607E-07
14;3.36E-10;27.015992;0.999999;-1.12E-12;27.015992;;;0
14.4999;3.36E-10;27.192053;0.999999;4.40E-13;27.192053;;;6.63325E-07
15;3.46E-10;27.368136;1;-8.50E-13;27.368136;;;0
15.5;3.24E-10;27.546226;0.999999;1.55E-12;27.546226;;;1.24499E-06
16;3.29E-10;27.722302;0.999999;2.66E-12;27.722302;;;1.63095E-06
16.5;3.60E-10;27.923348;1;-1.14E-12;27.923348;;;0
17;3.54E-10;28.09945;1;2.11E-12;28.09945;;;1.45258E-06
17.4999;3.72E-10;28.275482;1;2.60E-13;28.275482;;;5.09902E-07
18;3.63E-10;28.489533;0.999999;1.00E-14;28.489533;;;0.0000001
18.5;3.72E-10;28.665648;1;1.19E-12;28.665648;;;1.09087E-06
19;3.87E-10;28.841683;1;8.40E-13;28.841683;;;9.16515E-07
19.4999;3.93E-10;29.0178;1;-1.02E-12;29.0178;;;0
19.9999;3.92E-10;29.193889;1;-2.10E-13;29.193889;;;0
20.5;3.85E-10;29.369924;1;1.50E-13;29.369924;;;3.87298E-07
20.9999;3.98E-10;29.546004;1;-2.41E-12;29.546004;;;0
21.4999;4.06E-10;29.722241;0.999999;-1.35E-12;29.722241;;;0
21.9999;4.20E-10;29.898402;1;-1.34E-12;29.898402;;;0
22.4999;4.20E-10;30.085467;1.000001;-6.80E-13;30.085467;;;0
23;4.09E-10;30.261595;1;4.50E-13;30.261595;;;6.7082E-07
23.5;4.40E-10;30.466654;1;-8.10E-13;30.466654;;;0
23.9999;4.45E-10;30.642994;1;-8.00E-13;30.642994;;;0
24.4999;4.41E-10;30.819292;1;-1.84E-12;30.819292;;;0
25;4.28E-10;30.996394;0.999999;1.14E-12;30.996394;;;1.06771E-06
25.5;4.62E-10;31.172739;1;-2.59E-12;31.172739;;;0
26;4.72E-10;31.349182;1;-1.13E-12;31.349182;;;0
