#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:41:54;;;;;;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);;|IDrain|^1/2 (A^1/2);;;;|IDrain|_off_avg;;|IDrain|_max;ON/OFF
3.4;3.80E-10;2.241004;-10.00001;-1.30E-10;2.241004;;;3.4;1.30E-10;3.80E-10;;1.14E-05;;;1.30E-10;;;;
3.3;3.73E-10;2.362198;-10.00001;-1.41E-10;2.362198;;;3.3;1.41E-10;3.73E-10;;1.19E-05;;;1.41E-10;;;;
3.2;3.75E-10;2.48345;-10.00001;-1.67E-10;2.48345;;;3.2;1.67E-10;3.75E-10;;1.29E-05;;;1.67E-10;;;;
3.1;3.70E-10;2.604677;-10.00001;-2.07E-10;2.604677;;;3.1;2.07E-10;3.70E-10;;1.44E-05;;;;;;;
3.00001;3.68E-10;2.725879;-10.00001;-2.54E-10;2.725879;;;3.00001;2.54E-10;3.68E-10;;1.59E-05;;;;;;;
2.9;3.81E-10;2.852897;-10.00001;-3.10E-10;2.852897;;;2.9;3.10E-10;3.81E-10;;1.76E-05;;;;;;;
2.8;3.66E-10;2.974151;-10.00001;-3.65E-10;2.974151;;;2.8;3.65E-10;3.66E-10;;1.91E-05;;;;;;;
2.7;3.63E-10;3.095347;-10.00001;-4.49E-10;3.095347;;;2.7;4.49E-10;3.63E-10;;2.12E-05;;;;;;;
2.6;3.63E-10;3.216544;-10.00001;-5.63E-10;3.216544;;;2.6;5.63E-10;3.63E-10;;2.37E-05;;;;;;;
2.5;3.93E-10;3.353857;-10.00001;-7.29E-10;3.353857;;;2.5;7.29E-10;3.93E-10;;2.70E-05;;;;;;;
2.4;3.59E-10;3.475113;-10.00001;-9.31E-10;3.475113;;;2.4;9.31E-10;3.59E-10;;3.05E-05;;;;;;;
2.3;3.58E-10;3.596343;-10.00001;-1.22E-09;3.596343;;;2.3;1.22E-09;3.58E-10;;3.49E-05;;;;;;;
2.2;3.57E-10;3.717535;-10.00001;-1.59E-09;3.717535;;;2.2;1.59E-09;3.57E-10;;3.99E-05;;;;;;;
2.1;3.87E-10;3.854809;-10.00001;-2.07E-09;3.854809;;;2.1;2.07E-09;3.87E-10;;4.55E-05;;;;;;;
2;3.54E-10;3.976059;-10.00001;-2.64E-09;3.976059;;;2;2.64E-09;3.54E-10;;5.14E-05;;;;;;;
1.9;3.52E-10;4.097241;-10.00001;-3.35E-09;4.097241;;;1.9;3.35E-09;3.52E-10;;5.79E-05;;;;;;;
1.8;3.50E-10;4.218435;-10.00001;-4.26E-09;4.218435;;;1.8;4.26E-09;3.50E-10;;6.53E-05;;;;;;;
1.7;3.82E-10;4.355782;-10.00001;-5.43E-09;4.355782;;;1.7;5.43E-09;3.82E-10;;7.37E-05;;;;;;;
1.6;3.48E-10;4.477046;-10.00001;-6.83E-09;4.477046;;;1.6;6.83E-09;3.48E-10;;8.26E-05;;;;;;;
