#scan;iMeasureCycle=1;iMux=0;time=0.141;N=202;LocalTime=20/12/2023 11:48:43;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain| (A);|IGate| (A)
-4.6;-1.33E-08;12.537024;-0.499987;-3.70E-08;12.537024;;;-4.6;3.69816E-08;1.32657E-08
-4.7;-1.36E-08;12.660573;-0.499982;-3.94E-08;12.660573;;;-4.7;3.94159E-08;1.3594E-08
-4.8;-1.39E-08;12.784056;-0.500008;-4.01E-08;12.784056;;;-4.8;4.00752E-08;1.39398E-08
-4.9;-1.43E-08;12.907596;-0.500002;-3.98E-08;12.907596;;;-4.9;3.98411E-08;1.4292E-08
-5;-1.47E-08;13.031126;-0.500008;-3.86E-08;13.031126;;;-5;3.85543E-08;1.46644E-08
-5;-1.31E-08;13.154635;-0.50004;-3.75E-08;13.154635;;;-5;3.7501E-08;1.30898E-08
-4.90001;-1.07E-08;13.278128;-0.500002;-3.23E-08;13.278128;;;-4.90001;3.22966E-08;1.0676E-08
-4.80001;-9.67E-09;13.401668;-0.500007;-3.09E-08;13.401668;;;-4.80001;3.09135E-08;9.6715E-09
-4.7;-9.34E-09;13.540129;-0.499997;-3.10E-08;13.540129;;;-4.7;3.10056E-08;9.33576E-09
-4.6;-8.67E-09;13.662553;-0.5;-3.14E-08;13.662553;;;-4.6;3.13635E-08;8.67067E-09
-4.5;-8.16E-09;13.784921;-0.500002;-3.09E-08;13.784921;;;-4.5;3.09383E-08;8.16469E-09
-4.40001;-7.82E-09;13.907281;-0.499995;-3.23E-08;13.907281;;;-4.40001;3.23477E-08;7.82081E-09
-4.30001;-7.43E-09;14.029665;-0.500007;-3.10E-08;14.029665;;;-4.30001;3.09544E-08;7.43413E-09
-4.20001;-7.03E-09;14.151989;-0.500012;-4.05E-08;14.151989;;;-4.20001;4.04869E-08;7.03067E-09
-4.10001;-6.73E-09;14.274334;-0.500009;-4.18E-08;14.274334;;;-4.10001;4.17621E-08;6.73003E-09
-4.00001;-6.38E-09;14.396712;-0.499996;-3.92E-08;14.396712;;;-4.00001;3.92175E-08;6.3832E-09
-3.9;-6.03E-09;14.519086;-0.499989;-3.86E-08;14.519086;;;-3.9;3.86247E-08;6.0303E-09
-3.80001;-5.72E-09;14.641444;-0.500003;-3.79E-08;14.641444;;;-3.80001;3.78789E-08;5.71563E-09
-3.70001;-5.38E-09;14.763846;-0.500005;-3.84E-08;14.763846;;;-3.70001;3.8388E-08;5.38497E-09
-3.60001;-5.18E-09;14.892077;-0.499999;-3.78E-08;14.892077;;;-3.60001;3.77941E-08;5.17642E-09
-3.50001;-4.81E-09;15.014491;-0.500013;-3.71E-08;15.014491;;;-3.50001;3.71444E-08;4.80761E-09
-3.40001;-4.45E-09;15.136852;-0.499984;-4.00E-08;15.136852;;;-3.40001;3.99772E-08;4.45284E-09
-3.30001;-4.12E-09;15.259216;-0.500001;-3.50E-08;15.259216;;;-3.30001;3.49775E-08;4.1228E-09
-3.20001;-4.02E-09;15.393163;-0.500008;-3.83E-08;15.393163;;;-3.20001;3.83048E-08;4.02328E-09
-3.1;-3.62E-09;15.515581;-0.499994;-2.96E-08;15.515581;;;-3.1;2.95648E-08;3.62006E-09
-3.00001;-3.28E-09;15.637956;-0.500009;-2.91E-08;15.637956;;;-3.00001;2.91177E-08;3.27709E-09
-2.90001;-2.94E-09;15.760272;-0.50001;-3.97E-08;15.760272;;;-2.90001;3.96845E-08;2.93728E-09
-2.80001;-2.85E-09;15.89437;-0.500002;-4.55E-08;15.89437;;;-2.80001;4.54922E-08;2.84711E-09
-2.70001;-2.46E-09;16.016792;-0.499982;-4.49E-08;16.016792;;;-2.70001;4.49035E-08;2.46067E-09
-2.60001;-2.13E-09;16.139113;-0.499998;-4.58E-08;16.139113;;;-2.60001;4.57556E-08;2.13081E-09
-2.5;-1.80E-09;16.261475;-0.5;-6.03E-08;16.261475;;;-2.5;6.02601E-08;1.80251E-09
-2.40001;-1.78E-09;16.395246;-0.499989;-4.69E-08;16.395246;;;-2.40001;4.69089E-08;1.7765E-09
-2.30001;-1.39E-09;16.517687;-0.499994;-4.75E-08;16.517687;;;-2.30001;4.74841E-08;1.3884E-09
-2.20001;-1.12E-09;16.640039;-0.500006;-3.29E-08;16.640039;;;-2.20001;3.28765E-08;1.11929E-09
-2.10001;-8.39E-10;16.762358;-0.499984;-2.83E-08;16.762358;;;-2.10001;2.82523E-08;8.3928E-10
-2.00001;-7.80E-10;16.896258;-0.500006;-2.78E-08;16.896258;;;-2.00001;2.78457E-08;7.8042E-10
-1.9;-3.99E-10;17.018686;-0.500004;-3.13E-08;17.018686;;;-1.9;3.13094E-08;3.9893E-10
-1.80001;-1.16E-10;17.141034;-0.499998;-3.08E-08;17.141034;;;-1.80001;3.08243E-08;1.1593E-10
-1.70001;1.38E-10;17.263402;-0.500006;-3.13E-08;17.263402;;;-1.70001;3.1282E-08;1.3822E-10
-1.60001;1.67E-10;17.397294;-0.499996;-3.23E-08;17.397294;;;-1.60001;3.23221E-08;1.6654E-10
-1.50001;5.00E-10;17.51974;-0.499993;-2.99E-08;17.51974;;;-1.50001;2.98612E-08;4.9979E-10
-1.40001;7.65E-10;17.642104;-0.500007;-2.98E-08;17.642104;;;-1.40001;2.98065E-08;7.6515E-10
-1.3;1.00E-09;17.764423;-0.500005;-3.30E-08;17.764423;;;-1.3;3.30372E-08;1.00389E-09
-1.20001;1.00E-09;17.898257;-0.499994;-3.14E-08;17.898257;;;-1.20001;3.14043E-08;1.00319E-09
-1.10001;1.31E-09;18.020688;-0.500014;-3.08E-08;18.020688;;;-1.10001;3.08123E-08;1.31291E-09
-1.00001;1.55E-09;18.143145;-0.500005;-2.90E-08;18.143145;;;-1.00001;2.90208E-08;1.55257E-09
-0.90001;1.77E-09;18.2655;-0.499993;-3.22E-08;18.2655;;;-0.90001;3.22287E-08;1.77162E-09
-0.80001;1.74E-09;18.399554;-0.499996;-3.15E-08;18.399554;;;-0.80001;3.15199E-08;1.73538E-09
-0.70001;2.03E-09;18.522028;-0.5;-2.82E-08;18.522028;;;-0.70001;2.81782E-08;2.02644E-09
-0.60001;2.23E-09;18.644386;-0.500006;-2.91E-08;18.644386;;;-0.60001;2.90822E-08;2.23292E-09
-0.50001;2.41E-09;18.766718;-0.5;-2.97E-08;18.766718;;;-0.50001;2.97002E-08;2.41293E-09
-0.40001;2.36E-09;18.900485;-0.499997;-3.02E-08;18.900485;;;-0.40001;3.01833E-08;2.35735E-09
-0.30001;2.62E-09;19.022923;-0.499997;-3.11E-08;19.022923;;;-0.30001;3.1069E-08;2.62196E-09
-0.20001;2.80E-09;19.145243;-0.5;-3.09E-08;19.145243;;;-0.20001;3.09353E-08;2.79595E-09
-0.10001;2.93E-09;19.267588;-0.500007;-3.26E-08;19.267588;;;-0.10001;3.25909E-08;2.93095E-09
-1.00E-05;2.79E-09;19.401618;-0.500022;-3.04E-08;19.401618;;;-1.00E-05;3.04317E-08;2.79213E-09
0.09999;2.99E-09;19.524084;-0.499995;-2.99E-08;19.524084;;;0.09999;2.99387E-08;2.99257E-09
0.19999;3.10E-09;19.646445;-0.499997;-3.25E-08;19.646445;;;0.19999;3.25034E-08;3.09814E-09
0.29999;3.04E-09;19.768775;-0.499991;-3.10E-08;19.768775;;;0.29999;3.10223E-08;3.03695E-09
0.39999;2.59E-09;19.90267;-0.499997;-2.93E-08;19.90267;;;0.39999;2.92535E-08;2.58832E-09
