#scan;iMeasureCycle=1;iMux=0;time=0.144;N=210;LocalTime=20/12/2023 11:33:05;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
-2.5;7.44E-10;19.312921;-3;-1.22E-05;19.312921;;;-3;1.21581E-05
-2.5;-1.00E-09;19.435279;-3.5;-1.22E-05;19.435279;;;-3.5;1.22056E-05
-2.5;-1.68E-09;19.557678;-4;-1.22E-05;19.557678;;;-4;1.22239E-05
-2.5;-1.86E-09;19.680064;-4.5;-1.23E-05;19.680064;;;-4.5;1.22657E-05
-2.50001;-1.92E-09;19.80249;-5;-1.23E-05;19.80249;;;-5;1.23051E-05
-2.50001;-1.93E-09;19.924867;-5.5;-1.23E-05;19.924867;;;-5.5;0.00001234
-2.50001;-1.95E-09;20.047268;-6;-1.24E-05;20.047268;;;-6;1.23722E-05
-2.50001;-1.95E-09;20.169663;-6.5;-1.24E-05;20.169663;;;-6.5;1.24004E-05
-2.50001;-1.95E-09;20.291992;-7;-1.24E-05;20.291992;;;-7;0.000012425
-2.5;-1.95E-09;20.414403;-7.5;-1.24E-05;20.414403;;;-7.5;1.24496E-05
-2.50001;-1.95E-09;20.536795;-8;-1.25E-05;20.536795;;;-8;1.24737E-05
-2.50001;-1.95E-09;20.659162;-8.5;-1.25E-05;20.659162;;;-8.5;1.24942E-05
-2.5;-1.94E-09;20.781522;-9;-1.25E-05;20.781522;;;-9;1.25165E-05
-2.50001;-2.04E-09;20.914204;-9.5;-1.25E-05;20.914204;;;-9.5;1.25192E-05
-2.50001;-1.94E-09;21.036619;-10;-1.25E-05;21.036619;;;-10;1.25466E-05
-2.50001;-2.56E-09;21.159004;-10;-1.25E-05;21.159004;;;-10;1.24704E-05
-2.50001;-3.25E-09;21.281378;-9.5;-1.24E-05;21.281378;;;-9.5;0.000012365
-2.50001;-3.24E-09;21.415176;-9;-1.23E-05;21.415176;;;-9;1.23483E-05
-2.50001;-3.35E-09;21.537607;-8.5;-1.23E-05;21.537607;;;-8.5;1.23174E-05
-2.50001;-3.37E-09;21.659999;-8;-1.23E-05;21.659999;;;-8;1.22955E-05
-2.50001;-3.37E-09;21.782444;-7.5;-1.23E-05;21.782444;;;-7.5;1.22759E-05
-2.50001;-3.30E-09;21.911985;-7;-1.23E-05;21.911985;;;-7;1.22649E-05
-2.50001;-3.37E-09;22.034473;-6.5;-1.22E-05;22.034473;;;-6.5;1.22321E-05
-2.50001;-3.36E-09;22.156851;-6;-1.22E-05;22.156851;;;-6;0.000012205
-2.50001;-3.37E-09;22.279202;-5.5;-1.22E-05;22.279202;;;-5.5;1.21722E-05
-2.50001;-3.26E-09;22.412065;-5;-1.21E-05;22.412065;;;-5;1.21473E-05
-2.50001;-3.34E-09;22.534491;-4.5;-1.21E-05;22.534491;;;-4.5;1.20885E-05
-2.50001;-3.38E-09;22.656865;-4;-1.20E-05;22.656865;;;-4;1.20265E-05
-2.50001;-3.39E-09;22.77921;-3.5;-1.19E-05;22.77921;;;-3.5;1.19271E-05
-2.50001;-3.53E-09;22.913033;-3;-1.17E-05;22.913033;;;-3;1.16986E-05
-2.50001;-5.40E-09;23.035462;-2.5;-1.10E-05;23.035462;;;-2.5;1.09513E-05
-2.50001;-6.14E-09;23.185343;-2;-9.83E-06;23.185343;;;-2;9.8282E-06
-2.5;-6.76E-09;23.337817;-1.5;-8.16E-06;23.337817;;;-1.5;8.16208E-06
-2.50001;-7.36E-09;23.487704;-1;-5.95E-06;23.487704;;;-1;5.94727E-06
-2.5;-7.90E-09;23.63763;-0.5;-3.18E-06;23.63763;;;-0.5;3.17748E-06
-2.50001;-8.04E-09;23.798743;-1.00E-05;9.17E-09;23.798743;;;-1.00E-05;9.1709E-09
-5.00001;-2.42E-08;23.965093;0;1.86E-08;23.965093;;;0;1.8589E-08
-5;-1.04E-08;24.092027;-0.5;-4.55E-06;24.092027;;;-0.5;4.55446E-06
-5;-7.41E-09;24.230547;-1;-9.02E-06;24.230547;;;-1;9.02012E-06
-4.99999;-5.43E-09;24.356247;-1.5;-1.31E-05;24.356247;;;-1.5;1.30946E-05
-4.99999;-4.26E-09;24.478638;-2;-1.67E-05;24.478638;;;-2;1.67083E-05
-4.99999;-3.48E-09;24.601039;-2.5;-1.99E-05;24.601039;;;-2.5;1.98679E-05
-4.99999;-2.91E-09;24.723394;-3;-2.26E-05;24.723394;;;-3;2.25917E-05
-4.99999;-2.48E-09;24.845744;-3.5;-2.49E-05;24.845744;;;-3.5;2.48954E-05
-4.99999;-2.18E-09;24.968354;-4;-2.68E-05;24.968354;;;-4;0.000026764
-4.99999;-2.07E-09;25.090821;-4.5;-2.82E-05;25.090821;;;-4.5;2.81979E-05
-4.99999;-2.23E-09;25.213187;-5;-2.92E-05;25.213187;;;-5;2.91701E-05
-4.99999;-3.88E-09;25.335583;-5.5;-2.95E-05;25.335583;;;-5.5;2.95365E-05
-5;-5.70E-09;25.45796;-6;-2.96E-05;25.45796;;;-6;2.95576E-05
-5;-6.27E-09;25.580359;-6.5;-2.96E-05;25.580359;;;-6.5;2.96292E-05
-5;-6.38E-09;25.702737;-7;-2.97E-05;25.702737;;;-7;2.97154E-05
-5;-6.43E-09;25.825134;-7.5;-2.98E-05;25.825134;;;-7.5;2.97839E-05
-5;-6.47E-09;25.947507;-8;-2.99E-05;25.947507;;;-8;2.98501E-05
-5;-6.48E-09;26.069906;-8.5;-2.99E-05;26.069906;;;-8.5;2.99025E-05
-5;-6.45E-09;26.192273;-9;-3.00E-05;26.192273;;;-9;2.99555E-05
-5;-6.44E-09;26.31464;-9.5;-3.00E-05;26.31464;;;-9.5;2.99974E-05
-5;-6.46E-09;26.437065;-10;-3.00E-05;26.437065;;;-10;3.00417E-05
-5;-7.03E-09;26.559489;-10;-3.00E-05;26.559489;;;-10;2.99596E-05
-5.00001;-7.46E-09;26.709345;-9.5;-2.99E-05;26.709345;;;-9.5;0.000029857
-5;-7.46E-09;26.85911;-9;-2.98E-05;26.85911;;;-9;2.98078E-05
-5.00001;-7.52E-09;27.009095;-8.5;-2.98E-05;27.009095;;;-8.5;2.97602E-05
-5.00001;-7.49E-09;27.159024;-8;-2.97E-05;27.159024;;;-8;2.97086E-05
-5.00001;-7.51E-09;27.30887;-7.5;-2.96E-05;27.30887;;;-7.5;2.96468E-05
-5.00001;-7.50E-09;27.458781;-7;-2.96E-05;27.458781;;;-7;2.95692E-05
-5;-7.51E-09;27.608583;-6.5;-2.95E-05;27.608583;;;-6.5;2.94771E-05
-5.00001;-7.48E-09;27.758373;-6;-2.93E-05;27.758373;;;-6;0.000029334
-5.00001;-7.43E-09;27.940418;-5.5;-2.91E-05;27.940418;;;-5.5;2.90833E-05
-5.00001;-8.73E-09;28.084316;-5;-2.84E-05;28.084316;;;-5;2.83988E-05
-5.00001;-1.08E-08;28.207838;-4.5;-2.73E-05;28.207838;;;-4.5;2.72974E-05
-5.00001;-1.19E-08;28.331382;-4;-2.59E-05;28.331382;;;-4;2.59221E-05
-5.00001;-1.26E-08;28.45489;-3.5;-2.41E-05;28.45489;;;-3.5;2.41475E-05
-5.00001;-1.32E-08;28.578464;-3;-2.20E-05;28.578464;;;-3;2.19647E-05
-5.00001;-1.38E-08;28.70208;-2.5;-1.94E-05;28.70208;;;-2.5;1.93615E-05
-5.00001;-1.44E-08;28.825557;-2;-1.63E-05;28.825557;;;-2;0.000016326
-5.00001;-1.50E-08;28.949104;-1.5;-1.28E-05;28.949104;;;-1.5;1.28385E-05
-5.00001;-1.55E-08;29.075257;-1;-8.89E-06;29.075257;;;-1;8.88542E-06
-5.00001;-1.63E-08;29.198781;-0.5;-4.51E-06;29.198781;;;-0.5;4.50855E-06
-5.00001;-1.62E-08;29.339504;-1.00E-05;1.44E-08;29.339504;;;-1.00E-05;1.43538E-08
