File Name: 03_Sample12_device4_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;10:49:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);Idrain(A);;;Time_100uA (s);IDrain_dark (A);;;Time_100uA (s);IDrain_raw (A);Fit (A);dI_100uA (A);;;Time_200uA_dark (s);IDrain_dark(A);;Time_200_raw(s);IDrain_raw(A);;;;Time_400uA_raw (s);IDrain_raw(A);Fit (A);dI (A);;Time_400uA_dark (s);;;;Time_500uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_500uA_dark (s);;;;Time_300uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_300uA_dark (s);
1.05E+04;1.00E+00;2.43E-06;5.00E+01;1.28E-10;;;10.50;2.43E-06;;;310;7.07E-07;;;310.00;7.07E-07;7.02E-07;5.64E-09;;;;;;610.00;3.28E-07;;;;1010.00;1.26E-07;2.96E-07;-1.70E-07;;;;;;1210.50;1.09E-07;2.81E-07;-1.71E-07;;;;;;810.00;1.86E-07;3.36E-07;-1.50E-07;;;
1.10E+04;1.00E+00;2.41E-06;5.00E+01;1.23E-10;;;11.00;2.41E-06;;;310.5;7.06E-07;;;310.50;7.06E-07;7.01E-07;4.90E-09;;;;;;610.50;3.19E-07;;;;1010.50;1.28E-07;2.96E-07;-1.68E-07;;;;;;1211.00;1.11E-07;2.81E-07;-1.70E-07;;;;;;810.50;1.87E-07;3.36E-07;-1.49E-07;;;
1.15E+04;1.00E+00;2.40E-06;5.00E+01;1.06E-10;;;11.50;2.40E-06;;;311;7.04E-07;;;311.00;7.04E-07;7.01E-07;3.23E-09;;;;;;611.00;3.25E-07;;;;1011.00;1.29E-07;2.96E-07;-1.67E-07;;;;;;1211.50;1.11E-07;2.82E-07;-1.71E-07;;;;;;811.00;1.85E-07;3.36E-07;-1.52E-07;;;
1.20E+04;1.00E+00;2.37E-06;5.00E+01;1.25E-10;;;12.00;2.37E-06;;;311.5;7.03E-07;;;311.50;7.03E-07;7.00E-07;3.28E-09;;;;;;611.50;3.20E-07;;;;1011.50;1.29E-07;2.97E-07;-1.68E-07;;;;;;1212.00;1.12E-07;2.82E-07;-1.70E-07;;;;;;811.50;1.83E-07;3.36E-07;-1.54E-07;;;
1.25E+04;1.00E+00;2.36E-06;5.00E+01;1.22E-10;;;12.50;2.36E-06;;;312;7.07E-07;;;312.00;7.07E-07;7.00E-07;7.01E-09;;;;;;612.00;3.13E-07;;;;1012.00;1.23E-07;2.97E-07;-1.74E-07;;;;;;1212.50;1.07E-07;2.83E-07;-1.75E-07;;;;;;812.00;1.84E-07;3.37E-07;-1.52E-07;;;
1.30E+04;1.00E+00;2.34E-06;5.00E+01;1.20E-10;;;13.00;2.34E-06;;;312.5;7.05E-07;;;312.50;7.05E-07;6.99E-07;6.12E-09;;;;;;612.50;3.08E-07;;;;1012.50;1.25E-07;2.98E-07;-1.73E-07;;;;;;1213.00;1.06E-07;2.83E-07;-1.77E-07;;;;;;812.50;1.82E-07;3.37E-07;-1.54E-07;;;
1.35E+04;1.00E+00;2.33E-06;5.00E+01;1.24E-10;;;13.50;2.33E-06;;;313;7.07E-07;;;313.00;7.07E-07;6.99E-07;8.34E-09;;;;;;613.00;3.06E-07;;;;1013.00;1.26E-07;2.98E-07;-1.72E-07;;;;;;1213.50;1.04E-07;2.83E-07;-1.80E-07;;;;;;813.00;1.81E-07;3.37E-07;-1.56E-07;;;
1.40E+04;1.00E+00;2.31E-06;5.00E+01;1.20E-10;;;14.00;2.31E-06;;;313.5;7.04E-07;;;313.50;7.04E-07;6.98E-07;5.72E-09;;;;;;613.50;3.06E-07;;;;1013.50;1.29E-07;2.98E-07;-1.69E-07;;;;;;1214.00;1.03E-07;2.84E-07;-1.80E-07;;;;;;813.50;1.79E-07;3.37E-07;-1.58E-07;;;
1.45E+04;1.00E+00;2.29E-06;5.00E+01;1.10E-10;;;14.50;2.29E-06;;;314;7.03E-07;;;314.00;7.03E-07;6.98E-07;5.58E-09;;;;;;614.00;3.06E-07;;;;1014.00;1.33E-07;2.99E-07;-1.66E-07;;;;;;1214.50;1.33E-07;2.84E-07;-1.52E-07;;;;;;814.00;1.78E-07;3.37E-07;-1.59E-07;;;
1.50E+04;1.00E+00;2.27E-06;5.00E+01;8.49E-11;;;15.00;2.27E-06;;;314.5;6.99E-07;;;314.50;6.99E-07;6.97E-07;1.68E-09;;;;;;614.50;3.06E-07;;;;1014.50;1.29E-07;2.99E-07;-1.70E-07;;;;;;1215.00;1.92E-07;2.85E-07;-9.28E-08;;;;;;814.50;1.78E-07;3.37E-07;-1.59E-07;;;
1.55E+04;1.00E+00;2.25E-06;5.00E+01;8.89E-11;;;15.50;2.25E-06;;;315;6.99E-07;;;315.00;6.99E-07;6.97E-07;1.60E-09;;;;;;615.00;3.05E-07;;;;1015.00;1.30E-07;2.99E-07;-1.69E-07;;;;;;1215.50;2.22E-07;2.85E-07;-6.39E-08;;;;;;815.00;1.78E-07;3.38E-07;-1.60E-07;;;
1.60E+04;1.00E+00;2.24E-06;5.00E+01;1.35E-10;;;16.00;2.24E-06;;;315.5;6.97E-07;;;315.50;6.97E-07;6.97E-07;7.96E-10;;;;;;615.50;3.08E-07;;;;1015.50;1.30E-07;3.00E-07;-1.70E-07;;;;;;1216.00;2.54E-07;2.86E-07;-3.21E-08;;;;;;815.50;1.78E-07;3.38E-07;-1.60E-07;;;
1.65E+04;1.00E+00;2.23E-06;5.00E+01;1.25E-10;;;16.50;2.23E-06;;;316;6.96E-07;;;316.00;6.96E-07;6.96E-07;-1.19E-10;;;;;;616.00;3.08E-07;;;;1016.00;1.31E-07;3.00E-07;-1.69E-07;;;;;;1216.50;2.75E-07;2.86E-07;-1.15E-08;;;;;;816.00;1.78E-07;3.38E-07;-1.60E-07;;;
1.70E+04;1.00E+00;2.22E-06;5.00E+01;1.17E-10;;;17.00;2.22E-06;;;316.5;6.92E-07;;;316.50;6.92E-07;6.96E-07;-3.32E-09;;;;;;616.50;3.15E-07;;;;1016.50;1.40E-07;3.01E-07;-1.61E-07;;;;;;1217.00;2.85E-07;2.87E-07;-1.94E-09;;;;;;816.50;1.79E-07;3.38E-07;-1.59E-07;;;
1.75E+04;1.00E+00;2.20E-06;5.00E+01;1.13E-10;;;17.50;2.20E-06;;;317;6.95E-07;;;317.00;6.95E-07;6.95E-07;-3.21E-10;;;;;;617.00;3.22E-07;;;;1017.00;2.21E-07;3.01E-07;-8.04E-08;;;;;;1217.50;2.91E-07;2.87E-07;3.71E-09;;;;;;817.00;1.77E-07;3.38E-07;-1.62E-07;;;
