File Name: 03_Sample12_device4_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;10:49:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;Time (s);Idrain(A);;;Time_100uA (s);IDrain_dark (A);;;Time_100uA (s);IDrain_raw (A);Fit (A);dI_100uA (A);;;Time_200uA_dark (s);IDrain_dark(A);;Time_200_raw(s);IDrain_raw(A);;;;Time_400uA_raw (s);IDrain_raw(A);Fit (A);dI (A);;Time_400uA_dark (s);;;;Time_500uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_500uA_dark (s);;;;Time_300uA_raw (s);IDrain_raw (A);Fit (A);dI (A);;Time_300uA_dark (s);
5.41E+05;1.00E+00;5.06E-07;5.00E+01;1.20E-10;;;541.00;5.06E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.42E+05;1.00E+00;5.04E-07;5.00E+01;9.42E-11;;;541.50;5.04E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.42E+05;1.00E+00;5.03E-07;5.00E+01;9.52E-11;;;542.00;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.43E+05;1.00E+00;5.03E-07;5.00E+01;9.86E-11;;;542.50;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.43E+05;1.00E+00;5.06E-07;5.00E+01;1.32E-10;;;543.00;5.06E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.44E+05;1.00E+00;5.05E-07;5.00E+01;1.26E-10;;;543.50;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.44E+05;1.00E+00;5.03E-07;5.00E+01;1.20E-10;;;544.00;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.45E+05;1.00E+00;5.03E-07;5.00E+01;1.14E-10;;;544.50;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.45E+05;1.00E+00;5.05E-07;5.00E+01;1.13E-10;;;545.00;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.46E+05;1.00E+00;5.05E-07;5.00E+01;9.74E-11;;;545.50;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.46E+05;1.00E+00;5.03E-07;5.00E+01;9.86E-11;;;546.00;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.47E+05;1.00E+00;5.01E-07;5.00E+01;9.39E-11;;;546.50;5.01E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.47E+05;1.00E+00;5.04E-07;5.00E+01;9.78E-11;;;547.00;5.04E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.48E+05;1.00E+00;5.02E-07;5.00E+01;9.99E-11;;;547.50;5.02E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.48E+05;1.00E+00;5.04E-07;5.00E+01;1.02E-10;;;548.00;5.04E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.49E+05;1.00E+00;5.07E-07;5.00E+01;1.38E-10;;;548.50;5.07E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.49E+05;1.00E+00;5.07E-07;5.00E+01;1.09E-10;;;549.00;5.07E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.50E+05;1.00E+00;5.08E-07;5.00E+01;1.23E-10;;;549.50;5.08E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.50E+05;1.00E+00;5.05E-07;5.00E+01;9.79E-11;;;550.00;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.51E+05;1.00E+00;5.06E-07;5.00E+01;9.85E-11;;;550.50;5.06E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.51E+05;1.00E+00;5.05E-07;5.00E+01;1.01E-10;;;551.00;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.52E+05;1.00E+00;5.04E-07;5.00E+01;1.03E-10;;;551.50;5.04E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.52E+05;1.00E+00;5.04E-07;5.00E+01;1.06E-10;;;552.00;5.04E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.53E+05;1.00E+00;5.05E-07;5.00E+01;1.22E-10;;;552.50;5.05E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.53E+05;1.00E+00;5.03E-07;5.00E+01;9.77E-11;;;553.00;5.03E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.54E+05;1.00E+00;5.06E-07;5.00E+01;1.32E-10;;;553.50;5.06E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.54E+05;1.00E+00;4.97E-07;5.00E+01;1.23E-10;;;554.00;4.97E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.55E+05;1.00E+00;4.92E-07;5.00E+01;1.20E-10;;;554.50;4.92E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.55E+05;1.00E+00;4.89E-07;5.00E+01;1.15E-10;;;555.00;4.89E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.56E+05;1.00E+00;4.88E-07;5.00E+01;1.15E-10;;;555.50;4.88E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.56E+05;1.00E+00;4.89E-07;5.00E+01;9.22E-11;;;556.00;4.89E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.57E+05;1.00E+00;4.89E-07;5.00E+01;9.58E-11;;;556.50;4.89E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.57E+05;1.00E+00;4.88E-07;5.00E+01;9.91E-11;;;557.00;4.88E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.58E+05;1.00E+00;4.88E-07;5.00E+01;1.21E-10;;;557.50;4.88E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.58E+05;1.00E+00;4.84E-07;5.00E+01;1.22E-10;;;558.00;4.84E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.59E+05;1.00E+00;4.85E-07;5.00E+01;9.82E-11;;;558.50;4.85E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.59E+05;1.00E+00;4.83E-07;5.00E+01;1.01E-10;;;559.00;4.83E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.60E+05;1.00E+00;4.82E-07;5.00E+01;1.03E-10;;;559.50;4.82E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.60E+05;1.00E+00;4.85E-07;5.00E+01;1.15E-10;;;560.00;4.85E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.61E+05;1.00E+00;4.86E-07;5.00E+01;1.31E-10;;;560.50;4.86E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.61E+05;1.00E+00;4.85E-07;5.00E+01;1.24E-10;;;561.00;4.85E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.62E+05;1.00E+00;4.86E-07;5.00E+01;9.42E-11;;;561.50;4.86E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.62E+05;1.00E+00;4.83E-07;5.00E+01;1.09E-10;;;562.00;4.83E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.63E+05;1.00E+00;4.83E-07;5.00E+01;1.23E-10;;;562.50;4.83E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.63E+05;1.00E+00;4.82E-07;5.00E+01;9.70E-11;;;563.00;4.82E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.64E+05;1.00E+00;4.81E-07;5.00E+01;1.12E-10;;;563.50;4.81E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.64E+05;1.00E+00;4.86E-07;5.00E+01;1.23E-10;;;564.00;4.86E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.65E+05;1.00E+00;4.86E-07;5.00E+01;1.20E-10;;;564.50;4.86E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.65E+05;1.00E+00;4.83E-07;5.00E+01;1.09E-10;;;565.00;4.83E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.66E+05;1.00E+00;4.81E-07;5.00E+01;9.17E-11;;;565.50;4.81E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.66E+05;1.00E+00;4.80E-07;5.00E+01;9.67E-11;;;566.00;4.80E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.67E+05;1.00E+00;4.78E-07;5.00E+01;1.06E-10;;;566.50;4.78E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.67E+05;1.00E+00;4.77E-07;5.00E+01;1.01E-10;;;567.00;4.77E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.68E+05;1.00E+00;4.76E-07;5.00E+01;9.97E-11;;;567.50;4.76E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.68E+05;1.00E+00;4.76E-07;5.00E+01;1.26E-10;;;568.00;4.76E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.69E+05;1.00E+00;4.77E-07;5.00E+01;1.01E-10;;;568.50;4.77E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.69E+05;1.00E+00;4.75E-07;5.00E+01;1.02E-10;;;569.00;4.75E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.70E+05;1.00E+00;4.75E-07;5.00E+01;9.97E-11;;;569.50;4.75E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.70E+05;1.00E+00;4.73E-07;5.00E+01;9.99E-11;;;570.00;4.73E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.71E+05;1.00E+00;4.72E-07;5.00E+01;1.07E-10;;;570.50;4.72E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.71E+05;1.00E+00;4.71E-07;5.00E+01;1.03E-10;;;571.00;4.71E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.72E+05;1.00E+00;4.73E-07;5.00E+01;1.41E-10;;;571.50;4.73E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.72E+05;1.00E+00;4.75E-07;5.00E+01;1.06E-10;;;572.00;4.75E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.73E+05;1.00E+00;4.74E-07;5.00E+01;1.30E-10;;;572.50;4.74E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.73E+05;1.00E+00;4.69E-07;5.00E+01;1.02E-10;;;573.00;4.69E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.74E+05;1.00E+00;4.66E-07;5.00E+01;9.73E-11;;;573.50;4.66E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.74E+05;1.00E+00;4.63E-07;5.00E+01;9.91E-11;;;574.00;4.63E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.75E+05;1.00E+00;4.63E-07;5.00E+01;1.02E-10;;;574.50;4.63E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.75E+05;1.00E+00;4.64E-07;5.00E+01;1.03E-10;;;575.00;4.64E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.76E+05;1.00E+00;4.64E-07;5.00E+01;1.05E-10;;;575.50;4.64E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.76E+05;1.00E+00;4.63E-07;5.00E+01;1.06E-10;;;576.00;4.63E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.77E+05;1.00E+00;4.68E-07;5.00E+01;1.40E-10;;;576.50;4.68E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.77E+05;1.00E+00;4.68E-07;5.00E+01;1.29E-10;;;577.00;4.68E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.78E+05;1.00E+00;4.71E-07;5.00E+01;1.22E-10;;;577.50;4.71E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.78E+05;1.00E+00;4.70E-07;5.00E+01;1.16E-10;;;578.00;4.70E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.79E+05;1.00E+00;4.65E-07;5.00E+01;9.26E-11;;;578.50;4.65E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.79E+05;1.00E+00;4.66E-07;5.00E+01;1.15E-10;;;579.00;4.66E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.80E+05;1.00E+00;4.66E-07;5.00E+01;1.16E-10;;;579.50;4.66E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.80E+05;1.00E+00;4.65E-07;5.00E+01;1.14E-10;;;580.00;4.65E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.81E+05;1.00E+00;4.65E-07;5.00E+01;9.27E-11;;;580.50;4.65E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.81E+05;1.00E+00;4.61E-07;5.00E+01;9.45E-11;;;581.00;4.61E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.82E+05;1.00E+00;4.61E-07;5.00E+01;9.79E-11;;;581.50;4.61E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.82E+05;1.00E+00;4.63E-07;5.00E+01;1.18E-10;;;582.00;4.63E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.83E+05;1.00E+00;4.64E-07;5.00E+01;1.26E-10;;;582.50;4.64E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.83E+05;1.00E+00;4.59E-07;5.00E+01;9.17E-11;;;583.00;4.59E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.84E+05;1.00E+00;4.58E-07;5.00E+01;9.77E-11;;;583.50;4.58E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.84E+05;1.00E+00;4.55E-07;5.00E+01;1.02E-10;;;584.00;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.85E+05;1.00E+00;4.55E-07;5.00E+01;1.04E-10;;;584.50;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.85E+05;1.00E+00;4.54E-07;5.00E+01;1.05E-10;;;585.00;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.86E+05;1.00E+00;4.53E-07;5.00E+01;1.07E-10;;;585.50;4.53E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.86E+05;1.00E+00;4.52E-07;5.00E+01;1.07E-10;;;586.00;4.52E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.87E+05;1.00E+00;4.51E-07;5.00E+01;1.07E-10;;;586.50;4.51E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.87E+05;1.00E+00;4.51E-07;5.00E+01;1.07E-10;;;587.00;4.51E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.88E+05;1.00E+00;4.52E-07;5.00E+01;1.39E-10;;;587.50;4.52E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.88E+05;1.00E+00;4.52E-07;5.00E+01;1.06E-10;;;588.00;4.52E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.89E+05;1.00E+00;4.53E-07;5.00E+01;1.36E-10;;;588.50;4.53E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.89E+05;1.00E+00;4.54E-07;5.00E+01;1.17E-10;;;589.00;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.90E+05;1.00E+00;4.53E-07;5.00E+01;9.92E-11;;;589.50;4.53E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.90E+05;1.00E+00;4.55E-07;5.00E+01;1.27E-10;;;590.00;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.91E+05;1.00E+00;4.57E-07;5.00E+01;1.19E-10;;;590.50;4.57E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.91E+05;1.00E+00;4.56E-07;5.00E+01;1.18E-10;;;591.00;4.56E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.92E+05;1.00E+00;4.58E-07;5.00E+01;1.11E-10;;;591.50;4.58E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.92E+05;1.00E+00;4.57E-07;5.00E+01;9.16E-11;;;592.00;4.57E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.93E+05;1.00E+00;4.55E-07;5.00E+01;9.52E-11;;;592.50;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.93E+05;1.00E+00;4.52E-07;5.00E+01;9.74E-11;;;593.00;4.52E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.94E+05;1.00E+00;4.49E-07;5.00E+01;1.06E-10;;;593.50;4.49E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.94E+05;1.00E+00;4.50E-07;5.00E+01;1.01E-10;;;594.00;4.50E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.95E+05;1.00E+00;4.53E-07;5.00E+01;1.36E-10;;;594.50;4.53E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.95E+05;1.00E+00;4.50E-07;5.00E+01;1.00E-10;;;595.00;4.50E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.96E+05;1.00E+00;4.55E-07;5.00E+01;1.32E-10;;;595.50;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.96E+05;1.00E+00;4.54E-07;5.00E+01;1.23E-10;;;596.00;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.97E+05;1.00E+00;4.54E-07;5.00E+01;1.16E-10;;;596.50;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.97E+05;1.00E+00;4.55E-07;5.00E+01;1.14E-10;;;597.00;4.55E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.98E+05;1.00E+00;4.54E-07;5.00E+01;1.14E-10;;;597.50;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.98E+05;1.00E+00;4.54E-07;5.00E+01;1.11E-10;;;598.00;4.54E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.99E+05;1.00E+00;4.51E-07;5.00E+01;9.00E-11;;;598.50;4.51E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.99E+05;1.00E+00;4.47E-07;5.00E+01;9.38E-11;;;599.00;4.47E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.00E+05;1.00E+00;4.45E-07;5.00E+01;9.76E-11;;;599.50;4.45E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.00E+05;1.00E+00;4.45E-07;5.00E+01;9.99E-11;;;600.00;4.45E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.01E+05;1.00E+00;4.43E-07;5.00E+01;1.02E-10;;;600.50;4.43E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.01E+05;1.00E+00;4.43E-07;5.00E+01;1.04E-10;;;601.00;4.43E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.02E+05;1.00E+00;4.44E-07;5.00E+01;1.06E-10;;;601.50;4.44E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.02E+05;1.00E+00;4.44E-07;5.00E+01;1.23E-10;;;602.00;4.44E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.03E+05;1.00E+00;4.46E-07;5.00E+01;1.35E-10;;;602.50;4.46E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.03E+05;1.00E+00;4.45E-07;5.00E+01;1.06E-10;;;603.00;4.45E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.04E+05;1.00E+00;4.44E-07;5.00E+01;9.75E-11;;;603.50;4.44E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.04E+05;1.00E+00;4.43E-07;5.00E+01;9.91E-11;;;604.00;4.43E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.05E+05;1.00E+00;4.44E-07;5.00E+01;1.02E-10;;;604.50;4.44E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.05E+05;1.00E+00;4.42E-07;5.00E+01;1.03E-10;;;605.00;4.42E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.06E+05;1.00E+00;4.43E-07;5.00E+01;1.04E-10;;;605.50;4.43E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.06E+05;1.00E+00;4.40E-07;5.00E+01;1.05E-10;;;606.00;4.40E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.07E+05;1.00E+00;4.39E-07;5.00E+01;1.06E-10;;;606.50;4.39E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.07E+05;1.00E+00;4.40E-07;5.00E+01;1.08E-10;;;607.00;4.40E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.08E+05;1.00E+00;4.39E-07;5.00E+01;1.08E-10;;;607.50;4.39E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.08E+05;1.00E+00;4.40E-07;5.00E+01;1.08E-10;;;608.00;4.40E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.09E+05;1.00E+00;4.39E-07;5.00E+01;1.08E-10;;;608.50;4.39E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.09E+05;1.00E+00;4.11E-07;5.00E+01;1.71E-10;;;609.00;4.11E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.10E+05;1.00E+00;3.49E-07;5.00E+01;7.39E-09;;;609.50;3.49E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.10E+05;1.00E+00;3.28E-07;5.00E+01;7.67E-09;;;610.00;3.28E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.11E+05;1.00E+00;3.19E-07;5.00E+01;7.75E-09;;;610.50;3.19E-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
