File Name: 07_Sample14_device4_trfsat_dark_final.dat;;;;;;;;;
File Data: 15/11/2023;13:00:03;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 20;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
3.70E+04;1.00E+00;4.60E-06;-1.35E+01;2.95E-10;;;;4.5959E-06;2.9529E-10
3.75E+04;1.00E+00;4.80E-06;-1.30E+01;2.97E-10;;;;4.8045E-06;2.9749E-10
3.80E+04;1.00E+00;5.02E-06;-1.25E+01;2.91E-10;;;;5.0171E-06;2.9102E-10
3.85E+04;1.00E+00;5.18E-06;-1.20E+01;2.93E-10;;;;0.000005184;2.9292E-10
3.90E+04;1.00E+00;5.41E-06;-1.15E+01;2.97E-10;;;;5.4116E-06;2.9682E-10
3.95E+04;1.00E+00;5.61E-06;-1.10E+01;2.94E-10;;;;0.000005611;2.9408E-10
4.00E+04;1.00E+00;5.83E-06;-1.05E+01;2.97E-10;;;;5.8327E-06;2.9712E-10
4.05E+04;1.00E+00;6.05E-06;-1.00E+01;2.86E-10;;;;6.0512E-06;2.8573E-10
4.10E+04;1.00E+00;6.28E-06;-9.50E+00;2.90E-10;;;;6.2819E-06;2.9002E-10
4.15E+04;1.00E+00;6.48E-06;-9.00E+00;2.91E-10;;;;6.4782E-06;2.9055E-10
4.20E+04;1.00E+00;6.67E-06;-8.50E+00;2.89E-10;;;;6.6676E-06;2.8909E-10
4.25E+04;1.00E+00;6.90E-06;-8.00E+00;2.91E-10;;;;6.9017E-06;2.9059E-10
4.30E+04;1.00E+00;7.13E-06;-7.50E+00;2.92E-10;;;;0.00000713;2.9235E-10
4.35E+04;1.00E+00;7.41E-06;-7.00E+00;2.93E-10;;;;7.4112E-06;2.9289E-10
4.40E+04;1.00E+00;7.63E-06;-6.50E+00;2.87E-10;;;;7.6253E-06;2.87E-10
4.45E+04;1.00E+00;7.91E-06;-6.00E+00;2.89E-10;;;;7.9137E-06;2.8869E-10
4.50E+04;1.00E+00;8.12E-06;-5.50E+00;2.88E-10;;;;0.000008122;2.8814E-10
4.55E+04;1.00E+00;8.37E-06;-5.00E+00;2.41E-10;;;;8.3719E-06;2.4119E-10
4.60E+04;1.00E+00;8.59E-06;-4.50E+00;5.49E-10;;;;8.5856E-06;5.4876E-10
4.65E+04;1.00E+00;8.86E-06;-4.00E+00;2.97E-10;;;;8.8622E-06;2.9748E-10
4.70E+04;1.00E+00;9.11E-06;-3.50E+00;2.88E-10;;;;9.1078E-06;2.8821E-10
4.75E+04;1.00E+00;9.37E-06;-3.00E+00;2.88E-10;;;;9.3714E-06;2.8816E-10
4.80E+04;1.00E+00;9.66E-06;-2.50E+00;2.86E-10;;;;9.6551E-06;2.8586E-10
4.85E+04;1.00E+00;9.88E-06;-2.00E+00;2.86E-10;;;;9.8848E-06;2.8617E-10
4.90E+04;1.00E+00;1.02E-05;-1.50E+00;2.87E-10;;;;0.000010183;2.8749E-10
4.95E+04;1.00E+00;1.04E-05;-1.00E+00;3.28E-10;;;;0.00001044;3.2774E-10
