File Name: 10_Sample4_device1_trfSat_dark_hor.dat;;;;;;;
File Data: 17/11/2023;9:56:54;;;;;;
Start V: 0;;;;;;;
Step V: 0;;;;;;;
Stop V: 0;;;;;;;
Range V: 200;;;;;;;
Delay(ms): 0;;;;;;;
Auorange: yes;;;;;;;
Sweep type: log;;;;;;;
Instrument Meter: SM2614;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;|IDrain|, |IGate| (A);|IGate| (A)
6.90E+04;1.00E+00;-2.99E-11;1.85E+01;7.66E-11;;2.9913E-11;7.6566E-11
6.95E+04;1.00E+00;-2.99E-11;1.90E+01;7.67E-11;;2.9908E-11;7.6698E-11
7.00E+04;1.00E+00;-2.99E-11;1.95E+01;7.67E-11;;2.9888E-11;7.6675E-11
7.05E+04;1.00E+00;-3.00E-11;2.00E+01;7.69E-11;;3.0029E-11;7.6858E-11
7.10E+04;1.00E+00;-3.06E-11;2.05E+01;7.88E-11;;3.0607E-11;7.8775E-11
7.15E+04;1.00E+00;-2.99E-11;2.10E+01;7.68E-11;;2.9902E-11;7.6808E-11
7.20E+04;1.00E+00;-2.99E-11;2.15E+01;7.68E-11;;2.9893E-11;7.6812E-11
7.25E+04;1.00E+00;-3.00E-11;2.20E+01;7.68E-11;;2.9954E-11;7.6786E-11
7.30E+04;1.00E+00;-3.00E-11;2.25E+01;7.67E-11;;2.9968E-11;7.6742E-11
7.35E+04;1.00E+00;-3.01E-11;2.30E+01;7.70E-11;;3.005E-11;7.7034E-11
7.40E+04;1.00E+00;-3.00E-11;2.35E+01;7.68E-11;;3E-11;7.6772E-11
7.45E+04;1.00E+00;-3.01E-11;2.40E+01;7.71E-11;;3.0086E-11;7.7092E-11
7.50E+04;1.00E+00;-3.01E-11;2.45E+01;7.71E-11;;3.0123E-11;7.7093E-11
7.55E+04;1.00E+00;-2.39E-11;2.50E+01;7.63E-11;;2.3933E-11;7.6328E-11
7.60E+04;1.00E+00;-4.82E-11;2.55E+01;2.46E-10;;4.8218E-11;2.4633E-10
7.65E+04;1.00E+00;-3.02E-11;2.60E+01;7.73E-11;;3.0215E-11;7.7338E-11
7.70E+04;1.00E+00;-3.01E-11;2.65E+01;7.76E-11;;3.0081E-11;7.758E-11
7.75E+04;1.00E+00;-3.00E-11;2.70E+01;7.76E-11;;3.0035E-11;7.758E-11
7.80E+04;1.00E+00;-3.02E-11;2.75E+01;7.74E-11;;3.0191E-11;7.7383E-11
7.85E+04;1.00E+00;-3.01E-11;2.80E+01;7.75E-11;;3.0129E-11;7.7529E-11
7.90E+04;1.00E+00;-3.01E-11;2.85E+01;7.76E-11;;3.0104E-11;7.7599E-11
7.95E+04;1.00E+00;-3.00E-11;2.90E+01;7.75E-11;;2.9991E-11;7.7472E-11
8.00E+04;1.00E+00;-3.02E-11;2.95E+01;7.76E-11;;3.0159E-11;7.755E-11
8.05E+04;1.00E+00;-3.01E-11;3.00E+01;7.77E-11;;3.007E-11;7.7738E-11
8.10E+04;1.00E+00;-3.02E-11;3.05E+01;7.80E-11;;3.0239E-11;7.7952E-11
8.15E+04;1.00E+00;-3.00E-11;3.10E+01;7.78E-11;;3.0017E-11;7.7804E-11
