#scan;iMeasureCycle=1;iMux=0;time=0.133;N=492;LocalTime=21/12/2023 11:56:21;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
5;1.17E-09;16.966411;-6.5;-3.58E-07;16.966411;;;-6.5;3.57698E-07
4.99999;1.14E-09;17.11633;-7;-3.65E-07;17.11633;;;-7;3.64916E-07
5;1.11E-09;17.266318;-7.5;-3.71E-07;17.266318;;;-7.5;3.71037E-07
5;1.08E-09;17.426475;-8;-3.77E-07;17.426475;;;-8;3.76611E-07
4.99999;1.07E-09;17.576357;-8.5;-3.82E-07;17.576357;;;-8.5;3.81793E-07
4.99999;1.05E-09;17.726401;-9;-3.86E-07;17.726401;;;-9;3.86162E-07
4.99999;1.03E-09;17.905453;-9.5;-3.90E-07;17.905453;;;-9.5;3.90248E-07
4.99999;1.03E-09;18.055356;-10;-3.94E-07;18.055356;;;-10;3.94143E-07
5;1.02E-09;18.205287;-10.5;-3.98E-07;18.205287;;;-10.5;3.97559E-07
4.99999;1.02E-09;18.355144;-11;-4.01E-07;18.355144;;;-11;4.00784E-07
5;1.01E-09;18.521644;-11.5;-4.04E-07;18.521644;;;-11.5;4.0386E-07
5;1.00E-09;18.671392;-12;-4.07E-07;18.671392;;;-12;4.0692E-07
4.99999;9.99E-10;18.827022;-12.5;-4.10E-07;18.827022;;;-12.5;4.09933E-07
4.99999;9.96E-10;18.976901;-13;-4.12E-07;18.976901;;;-13;4.12446E-07
4.99999;9.93E-10;19.126715;-13.5;-4.15E-07;19.126715;;;-13.5;4.14704E-07
4.99999;9.93E-10;19.276622;-14;-4.17E-07;19.276622;;;-14;4.17214E-07
5;9.89E-10;19.432623;-14.5;-4.19E-07;19.432623;;;-14.5;4.19409E-07
5;9.88E-10;19.582573;-15;-4.22E-07;19.582573;;;-15;4.21791E-07
5;9.88E-10;19.732409;-15.5;-4.24E-07;19.732409;;;-15.5;4.23968E-07
4.99999;9.73E-10;19.911416;-16;-4.26E-07;19.911416;;;-16;4.25977E-07
5;9.82E-10;20.067188;-16.5;-4.28E-07;20.067188;;;-16.5;4.27645E-07
5;9.86E-10;20.217071;-17;-4.30E-07;20.217071;;;-17;4.2977E-07
5;9.78E-10;20.366913;-17.5;-4.32E-07;20.366913;;;-17.5;4.31559E-07
4.99999;9.77E-10;20.53285;-18;-4.34E-07;20.53285;;;-18;4.33639E-07
5;9.76E-10;20.688546;-18.5;-4.35E-07;20.688546;;;-18.5;4.35395E-07
4.99999;9.76E-10;20.838404;-19;-4.38E-07;20.838404;;;-19;4.37813E-07
5;9.73E-10;20.98825;-19.5;-4.39E-07;20.98825;;;-19.5;4.39437E-07
4.99999;9.79E-10;21.143948;-20;-4.41E-07;21.143948;;;-20;4.40747E-07
4.99999;9.49E-10;21.266338;-20;-4.41E-07;21.266338;;;-20;4.40917E-07
4.99999;9.33E-10;21.437498;-19.5;-4.40E-07;21.437498;;;-19.5;4.39521E-07
4.99999;9.28E-10;21.587405;-19;-4.38E-07;21.587405;;;-19;4.37903E-07
4.99999;9.18E-10;21.737195;-18.5;-4.36E-07;21.737195;;;-18.5;4.36464E-07
4.99999;9.30E-10;21.912417;-18;-4.35E-07;21.912417;;;-18;4.3524E-07
4.99999;9.21E-10;22.062367;-17.5;-4.34E-07;22.062367;;;-17.5;4.33606E-07
4.99999;9.20E-10;22.212258;-17;-4.32E-07;22.212258;;;-17;4.31986E-07
4.99999;9.19E-10;22.362099;-16.5;-4.30E-07;22.362099;;;-16.5;4.30082E-07
5;9.16E-10;22.53215;-16;-4.28E-07;22.53215;;;-16;4.2812E-07
5;9.16E-10;22.681914;-15.5;-4.26E-07;22.681914;;;-15.5;4.25989E-07
4.99999;9.14E-10;22.831701;-15;-4.24E-07;22.831701;;;-15;4.23952E-07
4.99999;9.10E-10;22.981666;-14.5;-4.22E-07;22.981666;;;-14.5;4.21715E-07
4.99999;9.14E-10;23.13154;-14;-4.20E-07;23.13154;;;-14;4.20001E-07
4.99999;9.06E-10;23.281457;-13.5;-4.18E-07;23.281457;;;-13.5;4.17983E-07
5;9.09E-10;23.442322;-13;-4.15E-07;23.442322;;;-13;4.15357E-07
5;9.09E-10;23.592366;-12.5;-4.12E-07;23.592366;;;-12.5;4.12325E-07
4.99999;9.08E-10;23.742226;-12;-4.09E-07;23.742226;;;-12;4.09412E-07
5;9.08E-10;23.917511;-11.5;-4.07E-07;23.917511;;;-11.5;4.06704E-07
5;9.18E-10;24.067454;-11;-4.03E-07;24.067454;;;-11;4.03388E-07
5;9.09E-10;24.217362;-10.5;-4.00E-07;24.217362;;;-10.5;4.00017E-07
4.99999;9.01E-10;24.367186;-10;-3.97E-07;24.367186;;;-10;3.96655E-07
4.99999;9.05E-10;24.537251;-9.5;-3.93E-07;24.537251;;;-9.5;3.92515E-07
5;8.87E-10;24.687009;-9;-3.88E-07;24.687009;;;-9;3.88114E-07
4.99999;8.85E-10;24.836859;-8.5;-3.84E-07;24.836859;;;-8.5;3.83588E-07
5;8.87E-10;24.986811;-8;-3.79E-07;24.986811;;;-8;3.78582E-07
