#scan;iMeasureCycle=1;iMux=0;time=0.129;N=142;LocalTime=21/12/2023 12:01:56;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A)
6.5;3.14E-09;18.534297;-0.500002;-8.95E-09;18.534297;;;6.5;8.9453E-09;3.13978E-09
6.99999;3.21E-09;18.710361;-0.500001;-5.38E-09;18.710361;;;6.99999;5.37863E-09;3.21231E-09
7.49999;2.92E-09;18.919211;-0.500001;-3.40E-09;18.919211;;;7.49999;3.40449E-09;2.92225E-09
7.99999;2.94E-09;19.095224;-0.5;-2.55E-09;19.095224;;;7.99999;2.54933E-09;2.94373E-09
8.49999;2.81E-09;19.271253;-0.500001;-2.14E-09;19.271253;;;8.49999;2.13551E-09;2.81286E-09
8.99999;2.63E-09;19.451561;-0.500001;-1.93E-09;19.451561;;;8.99999;1.92638E-09;2.62799E-09
9.5;2.47E-09;19.627625;-0.5;-1.81E-09;19.627625;;;9.5;1.80644E-09;2.46574E-09
10;2.31E-09;19.803771;-0.500001;-1.72E-09;19.803771;;;10;1.7174E-09;2.31394E-09
10.49999;2.17E-09;19.979885;-0.500001;-1.64E-09;19.979885;;;10.49999;1.63883E-09;2.17299E-09
10.99999;2.05E-09;20.156137;-0.500001;-1.57E-09;20.156137;;;10.99999;1.57095E-09;2.04809E-09
11.5;1.95E-09;20.332311;-0.5;-1.52E-09;20.332311;;;11.5;1.52078E-09;1.94913E-09
12;1.85E-09;20.50847;-0.5;-1.47E-09;20.50847;;;12;1.47017E-09;1.84967E-09
12.49999;1.77E-09;20.68456;-0.5;-1.43E-09;20.68456;;;12.49999;1.42772E-09;1.77195E-09
12.99999;1.71E-09;20.860679;-0.5;-1.39E-09;20.860679;;;12.99999;1.39337E-09;1.70774E-09
13.5;1.65E-09;21.047751;-0.500001;-1.37E-09;21.047751;;;13.5;1.36567E-09;1.6502E-09
13.99999;1.60E-09;21.223723;-0.5;-1.34E-09;21.223723;;;13.99999;1.33937E-09;1.59834E-09
14.49999;1.54E-09;21.429305;-0.5;-1.31E-09;21.429305;;;14.49999;1.30888E-09;1.54428E-09
15;1.51E-09;21.605492;-0.500001;-1.29E-09;21.605492;;;15;1.29307E-09;1.51209E-09
15.5;1.48E-09;21.781562;-0.5;-1.28E-09;21.781562;;;15.5;1.27602E-09;1.47835E-09
16;1.46E-09;21.958962;-0.5;-1.26E-09;21.958962;;;16;1.26255E-09;1.45698E-09
16.5;1.44E-09;22.135165;-0.500001;-1.25E-09;22.135165;;;16.5;1.25236E-09;1.43663E-09
17;1.41E-09;22.311363;-0.500001;-1.24E-09;22.311363;;;17;1.23622E-09;1.40952E-09
17.5;1.39E-09;22.487429;-0.5;-1.23E-09;22.487429;;;17.5;1.22919E-09;1.39495E-09
18;1.38E-09;22.663511;-0.500001;-1.22E-09;22.663511;;;18;1.21934E-09;1.37564E-09
18.49999;1.36E-09;22.839637;-0.500001;-1.21E-09;22.839637;;;18.49999;1.20871E-09;1.35771E-09
19;1.34E-09;23.016708;-0.500001;-1.20E-09;23.016708;;;19;1.19906E-09;1.3399E-09
19.49999;1.32E-09;23.192831;-0.500001;-1.19E-09;23.192831;;;19.49999;1.19022E-09;1.32446E-09
19.99999;1.31E-09;23.368946;-0.5;-1.18E-09;23.368946;;;19.99999;1.18381E-09;1.31382E-09
