#scan;iMeasureCycle=1;iMux=0;time=0.135;N=142;LocalTime=21/12/2023 11:59:53;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);|IDrain|^1/2 (A^1/2);;;IDS_off_avg
-9.50001;5.12E-10;13.56393;-10;-6.24E-05;13.56393;;;-9.50001;6.24E-05;5.12E-10;0.007899354;;;
-9.00001;7.07E-10;13.713759;-10;-6.07E-05;13.713759;;;-9.00001;6.07E-05;7.07E-10;0.007791373;;;
-8.5;8.27E-10;13.888044;-10;-5.88E-05;13.888044;;;-8.5;5.88E-05;8.27E-10;0.007666883;;;
-8.00001;9.91E-10;14.038042;-10;-5.66E-05;14.038042;;;-8.00001;5.66E-05;9.91E-10;0.007523344;;;
-7.5;1.10E-09;14.187902;-10;-5.42E-05;14.187902;;;-7.5;5.42E-05;1.10E-09;0.007361664;;;
-7.00001;1.14E-09;14.337724;-10;-5.16E-05;14.337724;;;-7.00001;5.16E-05;1.14E-09;0.007182263;;;
-6.50001;1.21E-09;14.509046;-10;-4.88E-05;14.509046;;;-6.50001;4.88E-05;1.21E-09;0.006987718;;;
-6.00001;1.25E-09;14.658896;-10;-4.60E-05;14.658896;;;-6.00001;4.60E-05;1.25E-09;0.006779019;;;
-5.50001;1.34E-09;14.808853;-10;-4.30E-05;14.808853;;;-5.50001;4.30E-05;1.34E-09;0.006557797;;;
-5.00001;1.44E-09;14.958699;-10;-4.00E-05;14.958699;;;-5.00001;0.000039997;1.44E-09;0.006324318;;;
-4.5;1.52E-09;15.109066;-10;-3.70E-05;15.109066;;;-4.5;3.70E-05;1.52E-09;0.006079663;;;
-4.00001;1.58E-09;15.258928;-10;-3.39E-05;15.258928;;;-4.00001;3.39E-05;1.58E-09;0.005822353;;;
-3.50001;1.59E-09;15.419339;-10;-3.09E-05;15.419339;;;-3.50001;3.09E-05;1.59E-09;0.005554476;;;
-3;1.64E-09;15.569238;-10;-2.78E-05;15.569238;;;-3;2.78E-05;1.64E-09;0.005275301;;;
-2.50001;1.67E-09;15.719069;-10;-2.49E-05;15.719069;;;-2.50001;2.49E-05;1.67E-09;0.004984987;;;
-2;1.57E-09;15.893799;-10;-2.19E-05;15.893799;;;-2;2.19E-05;1.57E-09;0.004683524;;;
-1.50001;1.56E-09;16.043768;-10;-1.91E-05;16.043768;;;-1.50001;1.91E-05;1.56E-09;0.004369004;;;
-1;1.52E-09;16.193647;-10;-1.63E-05;16.193647;;;-1;1.63E-05;1.52E-09;0.004043427;;;
-0.50001;1.46E-09;16.343477;-10;-1.37E-05;16.343477;;;-0.50001;1.37E-05;1.46E-09;0.003704524;;;
0;1.40E-09;16.514203;-10;-1.12E-05;16.514203;;;0;1.12E-05;1.40E-09;0.003350313;;;
0.5;1.37E-09;16.666627;-10;-8.85E-06;16.666627;;;0.5;8.85E-06;1.37E-09;0.002975344;;;
0.99999;1.36E-09;16.816487;-10;-6.72E-06;16.816487;;;0.99999;6.72E-06;1.36E-09;0.002593218;;;
1.49999;1.36E-09;16.96636;-10;-4.97E-06;16.96636;;;1.49999;4.97E-06;1.36E-09;0.002228809;;;
2;1.34E-09;17.116252;-10;-3.56E-06;17.116252;;;2;3.56E-06;1.34E-09;0.001886089;;;
2.49999;1.34E-09;17.266088;-10;-2.46E-06;17.266088;;;2.49999;2.46E-06;1.34E-09;0.001569242;;;
3.00001;1.34E-09;17.425635;-10;-1.66E-06;17.425635;;;3.00001;1.66E-06;1.34E-09;0.001286616;;;
3.49999;1.41E-09;17.57552;-10;-1.08E-06;17.57552;;;3.49999;1.08E-06;1.41E-09;0.001039235;;;
