File Name: 27_Sample1_device3_trfSat_dark_final.dat;;;;;;;;;
File Data: 17/11/2023;13:17:35;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;|IDrain|, |IGate| (A);|IGate| (A)
5.70E+04;1.00E+00;9.46E-06;3.00E+00;2.83E-10;;;;9.4615E-06;2.8287E-10
5.75E+04;1.00E+00;9.85E-06;3.50E+00;2.79E-10;;;;9.8485E-06;2.7947E-10
5.80E+04;1.00E+00;1.03E-05;4.00E+00;2.77E-10;;;;0.000010279;2.7661E-10
5.85E+04;1.00E+00;1.07E-05;4.50E+00;2.98E-10;;;;0.000010681;2.9777E-10
5.90E+04;1.00E+00;1.11E-05;5.00E+00;2.70E-10;;;;0.000011086;2.6974E-10
5.95E+04;1.00E+00;1.15E-05;5.50E+00;2.62E-10;;;;0.000011521;2.615E-10
6.00E+04;1.00E+00;1.20E-05;6.00E+00;2.52E-10;;;;0.000011961;2.5175E-10
6.05E+04;1.00E+00;1.24E-05;6.50E+00;2.40E-10;;;;0.00001239;2.4024E-10
6.10E+04;1.00E+00;1.29E-05;7.00E+00;1.81E-10;;;;0.000012856;1.8139E-10
6.15E+04;1.00E+00;1.33E-05;7.50E+00;5.57E-10;;;;0.00001329;5.5697E-10
6.20E+04;1.00E+00;1.38E-05;8.00E+00;1.97E-10;;;;0.000013761;1.9681E-10
6.25E+04;1.00E+00;1.43E-05;8.50E+00;1.80E-10;;;;0.000014256;1.7958E-10
6.30E+04;1.00E+00;1.48E-05;9.00E+00;1.69E-10;;;;0.000014761;1.6853E-10
6.35E+04;1.00E+00;1.53E-05;9.50E+00;1.54E-10;;;;0.000015292;1.5355E-10
6.40E+04;1.00E+00;1.58E-05;1.00E+01;1.41E-10;;;;0.000015809;1.4104E-10
6.45E+04;1.00E+00;1.64E-05;1.05E+01;1.32E-10;;;;0.000016351;1.3198E-10
6.50E+04;1.00E+00;1.69E-05;1.10E+01;1.22E-10;;;;0.000016879;1.2173E-10
6.55E+04;1.00E+00;1.74E-05;1.15E+01;1.14E-10;;;;0.000017412;1.1411E-10
6.60E+04;1.00E+00;1.79E-05;1.20E+01;1.08E-10;;;;0.000017939;1.084E-10
6.65E+04;1.00E+00;1.85E-05;1.25E+01;1.03E-10;;;;0.000018521;1.0262E-10
6.70E+04;1.00E+00;1.91E-05;1.30E+01;9.88E-11;;;;0.000019086;9.8841E-11
6.75E+04;1.00E+00;1.97E-05;1.35E+01;9.67E-11;;;;0.00001966;9.6685E-11
6.80E+04;1.00E+00;2.03E-05;1.40E+01;9.32E-11;;;;0.000020257;9.3231E-11
6.85E+04;1.00E+00;2.09E-05;1.45E+01;9.09E-11;;;;0.000020888;9.0903E-11
6.90E+04;1.00E+00;2.15E-05;1.50E+01;8.93E-11;;;;0.000021479;8.9343E-11
6.95E+04;1.00E+00;2.21E-05;1.55E+01;8.85E-11;;;;0.000022119;8.845E-11
7.00E+04;1.00E+00;2.27E-05;1.60E+01;8.57E-11;;;;0.000022716;8.5673E-11
7.05E+04;1.00E+00;2.34E-05;1.65E+01;8.54E-11;;;;0.000023401;8.536E-11
7.10E+04;1.00E+00;2.41E-05;1.70E+01;8.42E-11;;;;0.000024051;8.4195E-11
7.15E+04;1.00E+00;2.47E-05;1.75E+01;8.40E-11;;;;0.000024714;8.3951E-11
7.20E+04;1.00E+00;2.54E-05;1.80E+01;8.31E-11;;;;0.00002536;8.3143E-11
7.25E+04;1.00E+00;2.61E-05;1.85E+01;8.27E-11;;;;0.000026054;8.2667E-11
7.30E+04;1.00E+00;2.67E-05;1.90E+01;8.22E-11;;;;0.000026725;8.217E-11
