File Name: 12_Sample14_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;13:29:38;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);;Time_500uA (s);IDrain_dark (A);;Time_500uA (s);IDrain_raw (A);Fit (A);dI (A)
2.42E+05;1.00E+00;4.49E-09;5.00E+01;1.42E-10;;;;242.00;4.49E-09;;;;;;;;
2.43E+05;1.00E+00;4.51E-09;5.00E+01;1.42E-10;;;;242.50;4.51E-09;;;;;;;;
2.43E+05;1.00E+00;4.46E-09;5.00E+01;1.41E-10;;;;243.00;4.46E-09;;;;;;;;
2.44E+05;1.00E+00;4.48E-09;5.00E+01;1.41E-10;;;;243.50;4.48E-09;;;;;;;;
2.44E+05;1.00E+00;4.44E-09;5.00E+01;1.42E-10;;;;244.00;4.44E-09;;;;;;;;
2.45E+05;1.00E+00;4.41E-09;5.00E+01;1.40E-10;;;;244.50;4.41E-09;;;;;;;;
2.45E+05;1.00E+00;4.36E-09;5.00E+01;1.42E-10;;;;245.00;4.36E-09;;;;;;;;
2.46E+05;1.00E+00;4.29E-09;5.00E+01;1.41E-10;;;;245.50;4.29E-09;;;;;;;;
2.46E+05;1.00E+00;4.21E-09;5.00E+01;1.40E-10;;;;246.00;4.21E-09;;;;;;;;
2.47E+05;1.00E+00;4.22E-09;5.00E+01;1.41E-10;;;;246.50;4.22E-09;;;;;;;;
2.47E+05;1.00E+00;4.21E-09;5.00E+01;1.41E-10;;;;247.00;4.21E-09;;;;;;;;
2.48E+05;1.00E+00;4.16E-09;5.00E+01;1.42E-10;;;;247.50;4.16E-09;;;;;;;;
2.48E+05;1.00E+00;4.19E-09;5.00E+01;1.41E-10;;;;248.00;4.19E-09;;;;;;;;
2.49E+05;1.00E+00;4.13E-09;5.00E+01;1.41E-10;;;;248.50;4.13E-09;;;;;;;;
2.49E+05;1.00E+00;4.14E-09;5.00E+01;1.40E-10;;;;249.00;4.14E-09;;;;;;;;
2.50E+05;1.00E+00;4.10E-09;5.00E+01;1.42E-10;;;;249.50;4.10E-09;;;;;;;;
2.50E+05;1.00E+00;4.10E-09;5.00E+01;1.39E-10;;;;250.00;4.10E-09;;;;;;;;
2.51E+05;1.00E+00;4.06E-09;5.00E+01;1.41E-10;;;;250.50;4.06E-09;;;;;;;;
2.51E+05;1.00E+00;4.00E-09;5.00E+01;1.42E-10;;;;251.00;4.00E-09;;;;;;;;
2.52E+05;1.00E+00;3.96E-09;5.00E+01;1.42E-10;;;;251.50;3.96E-09;;;;;;;;
2.52E+05;1.00E+00;3.97E-09;5.00E+01;1.41E-10;;;;252.00;3.97E-09;;;;;;;;
2.53E+05;1.00E+00;3.94E-09;5.00E+01;1.42E-10;;;;252.50;3.94E-09;;;;;;;;
2.53E+05;1.00E+00;3.89E-09;5.00E+01;1.40E-10;;;;253.00;3.89E-09;;;;;;;;
2.54E+05;1.00E+00;3.89E-09;5.00E+01;1.40E-10;;;;253.50;3.89E-09;;;;;;;;
2.54E+05;1.00E+00;3.89E-09;5.00E+01;1.41E-10;;;;254.00;3.89E-09;;;;;;;;
2.55E+05;1.00E+00;3.88E-09;5.00E+01;1.39E-10;;;;254.50;3.88E-09;;;;;;;;
2.55E+05;1.00E+00;3.87E-09;5.00E+01;1.40E-10;;;;255.00;3.87E-09;;;;;;;;
2.56E+05;1.00E+00;3.85E-09;5.00E+01;1.40E-10;;;;255.50;3.85E-09;;;;;;;;
2.56E+05;1.00E+00;3.84E-09;5.00E+01;1.40E-10;;;;256.00;3.84E-09;;;;;;;;
2.57E+05;1.00E+00;3.79E-09;5.00E+01;1.41E-10;;;;256.50;3.79E-09;;;;;;;;
2.57E+05;1.00E+00;3.76E-09;5.00E+01;1.40E-10;;;;257.00;3.76E-09;;;;;;;;
2.58E+05;1.00E+00;3.69E-09;5.00E+01;1.42E-10;;;;257.50;3.69E-09;;;;;;;;
2.58E+05;1.00E+00;3.69E-09;5.00E+01;1.40E-10;;;;258.00;3.69E-09;;;;;;;;
2.59E+05;1.00E+00;3.68E-09;5.00E+01;1.41E-10;;;;258.50;3.68E-09;;;;;;;;
2.59E+05;1.00E+00;3.66E-09;5.00E+01;1.41E-10;;;;259.00;3.66E-09;;;;;;;;
2.60E+05;1.00E+00;3.62E-09;5.00E+01;1.40E-10;;;;259.50;3.62E-09;;;;;;;;
2.60E+05;1.00E+00;3.54E-09;5.00E+01;1.40E-10;;;;260.00;3.54E-09;;;;;;;;
2.61E+05;1.00E+00;3.54E-09;5.00E+01;1.40E-10;;;;260.50;3.54E-09;;;;;;;;
2.61E+05;1.00E+00;3.51E-09;5.00E+01;1.42E-10;;;;261.00;3.51E-09;;;;;;;;
2.62E+05;1.00E+00;3.57E-09;5.00E+01;1.41E-10;;;;261.50;3.57E-09;;;;;;;;
2.62E+05;1.00E+00;3.57E-09;5.00E+01;1.42E-10;;;;262.00;3.57E-09;;;;;;;;
2.63E+05;1.00E+00;3.56E-09;5.00E+01;1.40E-10;;;;262.50;3.56E-09;;;;;;;;
2.63E+05;1.00E+00;3.52E-09;5.00E+01;1.40E-10;;;;263.00;3.52E-09;;;;;;;;
2.64E+05;1.00E+00;3.47E-09;5.00E+01;1.42E-10;;;;263.50;3.47E-09;;;;;;;;
2.64E+05;1.00E+00;3.44E-09;5.00E+01;1.41E-10;;;;264.00;3.44E-09;;;;;;;;
2.65E+05;1.00E+00;3.39E-09;5.00E+01;1.40E-10;;;;264.50;3.39E-09;;;;;;;;
2.65E+05;1.00E+00;3.39E-09;5.00E+01;1.41E-10;;;;265.00;3.39E-09;;;;;;;;
2.66E+05;1.00E+00;3.40E-09;5.00E+01;1.41E-10;;;;265.50;3.40E-09;;;;;;;;
2.66E+05;1.00E+00;3.36E-09;5.00E+01;1.41E-10;;;;266.00;3.36E-09;;;;;;;;
2.67E+05;1.00E+00;3.34E-09;5.00E+01;1.42E-10;;;;266.50;3.34E-09;;;;;;;;
2.67E+05;1.00E+00;3.33E-09;5.00E+01;1.41E-10;;;;267.00;3.33E-09;;;;;;;;
2.68E+05;1.00E+00;3.32E-09;5.00E+01;1.42E-10;;;;267.50;3.32E-09;;;;;;;;
2.68E+05;1.00E+00;3.28E-09;5.00E+01;1.41E-10;;;;268.00;3.28E-09;;;;;;;;
2.69E+05;1.00E+00;3.29E-09;5.00E+01;1.40E-10;;;;268.50;3.29E-09;;;;;;;;
2.69E+05;1.00E+00;3.24E-09;5.00E+01;1.40E-10;;;;269.00;3.24E-09;;;;;;;;
2.70E+05;1.00E+00;3.21E-09;5.00E+01;1.41E-10;;;;269.50;3.21E-09;;;;;;;;
2.70E+05;1.00E+00;3.22E-09;5.00E+01;1.41E-10;;;;270.00;3.22E-09;;;;;;;;
2.71E+05;1.00E+00;3.17E-09;5.00E+01;1.40E-10;;;;270.50;3.17E-09;;;;;;;;
2.71E+05;1.00E+00;3.15E-09;5.00E+01;1.41E-10;;;;271.00;3.15E-09;;;;;;;;
2.72E+05;1.00E+00;3.13E-09;5.00E+01;1.40E-10;;;;271.50;3.13E-09;;;;;;;;
2.72E+05;1.00E+00;3.10E-09;5.00E+01;1.41E-10;;;;272.00;3.10E-09;;;;;;;;
2.73E+05;1.00E+00;3.08E-09;5.00E+01;1.42E-10;;;;272.50;3.08E-09;;;;;;;;
2.73E+05;1.00E+00;3.04E-09;5.00E+01;1.40E-10;;;;273.00;3.04E-09;;;;;;;;
2.74E+05;1.00E+00;3.08E-09;5.00E+01;1.39E-10;;;;273.50;3.08E-09;;;;;;;;
2.74E+05;1.00E+00;3.04E-09;5.00E+01;1.42E-10;;;;274.00;3.04E-09;;;;;;;;
2.75E+05;1.00E+00;2.97E-09;5.00E+01;1.41E-10;;;;274.50;2.97E-09;;;;;;;;
2.75E+05;1.00E+00;2.97E-09;5.00E+01;1.40E-10;;;;275.00;2.97E-09;;;;;;;;
2.76E+05;1.00E+00;2.98E-09;5.00E+01;1.40E-10;;;;275.50;2.98E-09;;;;;;;;
2.76E+05;1.00E+00;2.98E-09;5.00E+01;1.40E-10;;;;276.00;2.98E-09;;;;;;;;
2.77E+05;1.00E+00;2.97E-09;5.00E+01;1.40E-10;;;;276.50;2.97E-09;;;;;;;;
2.77E+05;1.00E+00;2.96E-09;5.00E+01;1.41E-10;;;;277.00;2.96E-09;;;;;;;;
2.78E+05;1.00E+00;2.95E-09;5.00E+01;1.40E-10;;;;277.50;2.95E-09;;;;;;;;
2.78E+05;1.00E+00;2.93E-09;5.00E+01;1.40E-10;;;;278.00;2.93E-09;;;;;;;;
2.79E+05;1.00E+00;2.94E-09;5.00E+01;1.39E-10;;;;278.50;2.94E-09;;;;;;;;
2.79E+05;1.00E+00;2.91E-09;5.00E+01;1.40E-10;;;;279.00;2.91E-09;;;;;;;;
2.80E+05;1.00E+00;2.89E-09;5.00E+01;1.40E-10;;;;279.50;2.89E-09;;;;;;;;
2.80E+05;1.00E+00;2.85E-09;5.00E+01;1.40E-10;;;;280.00;2.85E-09;;;;;;;;
2.81E+05;1.00E+00;2.85E-09;5.00E+01;1.39E-10;;;;280.50;2.85E-09;;;;;;;;
2.81E+05;1.00E+00;2.82E-09;5.00E+01;1.40E-10;;;;281.00;2.82E-09;;;;;;;;
2.82E+05;1.00E+00;2.82E-09;5.00E+01;1.41E-10;;;;281.50;2.82E-09;;;;;;;;
2.82E+05;1.00E+00;2.80E-09;5.00E+01;1.41E-10;;;;282.00;2.80E-09;;;;;;;;
2.83E+05;1.00E+00;2.77E-09;5.00E+01;1.40E-10;;;;282.50;2.77E-09;;;;;;;;
2.83E+05;1.00E+00;2.80E-09;5.00E+01;1.42E-10;;;;283.00;2.80E-09;;;;;;;;
2.84E+05;1.00E+00;2.75E-09;5.00E+01;1.40E-10;;;;283.50;2.75E-09;;;;;;;;
2.84E+05;1.00E+00;2.74E-09;5.00E+01;1.41E-10;;;;284.00;2.74E-09;;;;;;;;
2.85E+05;1.00E+00;2.73E-09;5.00E+01;1.41E-10;;;;284.50;2.73E-09;;;;;;;;
2.85E+05;1.00E+00;2.72E-09;5.00E+01;1.40E-10;;;;285.00;2.72E-09;;;;;;;;
2.86E+05;1.00E+00;2.69E-09;5.00E+01;1.40E-10;;;;285.50;2.69E-09;;;;;;;;
2.86E+05;1.00E+00;2.66E-09;5.00E+01;1.42E-10;;;;286.00;2.66E-09;;;;;;;;
2.87E+05;1.00E+00;2.62E-09;5.00E+01;1.41E-10;;;;286.50;2.62E-09;;;;;;;;
2.87E+05;1.00E+00;2.61E-09;5.00E+01;1.42E-10;;;;287.00;2.61E-09;;;;;;;;
2.88E+05;1.00E+00;2.61E-09;5.00E+01;1.41E-10;;;;287.50;2.61E-09;;;;;;;;
2.88E+05;1.00E+00;2.53E-09;5.00E+01;1.40E-10;;;;288.00;2.53E-09;;;;;;;;
2.89E+05;1.00E+00;2.53E-09;5.00E+01;1.40E-10;;;;288.50;2.53E-09;;;;;;;;
2.89E+05;1.00E+00;2.53E-09;5.00E+01;1.41E-10;;;;289.00;2.53E-09;;;;;;;;
2.90E+05;1.00E+00;2.50E-09;5.00E+01;1.41E-10;;;;289.50;2.50E-09;;;;;;;;
2.90E+05;1.00E+00;2.49E-09;5.00E+01;1.40E-10;;;;290.00;2.49E-09;;;;;;;;
2.91E+05;1.00E+00;2.46E-09;5.00E+01;1.41E-10;;;;290.50;2.46E-09;;;;;;;;
2.91E+05;1.00E+00;2.44E-09;5.00E+01;1.41E-10;;;;291.00;2.44E-09;;;;;;;;
2.92E+05;1.00E+00;2.41E-09;5.00E+01;1.40E-10;;;;291.50;2.41E-09;;;;;;;;
2.92E+05;1.00E+00;2.42E-09;5.00E+01;1.41E-10;;;;292.00;2.42E-09;;;;;;;;
2.93E+05;1.00E+00;2.42E-09;5.00E+01;1.40E-10;;;;292.50;2.42E-09;;;;;;;;
2.93E+05;1.00E+00;2.42E-09;5.00E+01;1.42E-10;;;;293.00;2.42E-09;;;;;;;;
2.94E+05;1.00E+00;2.40E-09;5.00E+01;1.41E-10;;;;293.50;2.40E-09;;;;;;;;
2.94E+05;1.00E+00;2.39E-09;5.00E+01;1.39E-10;;;;294.00;2.39E-09;;;;;;;;
2.95E+05;1.00E+00;2.41E-09;5.00E+01;1.41E-10;;;;294.50;2.41E-09;;;;;;;;
2.95E+05;1.00E+00;2.39E-09;5.00E+01;1.39E-10;;;;295.00;2.39E-09;;;;;;;;
2.96E+05;1.00E+00;2.37E-09;5.00E+01;1.41E-10;;;;295.50;2.37E-09;;;;;;;;
2.96E+05;1.00E+00;2.34E-09;5.00E+01;1.40E-10;;;;296.00;2.34E-09;;;;;;;;
2.97E+05;1.00E+00;2.32E-09;5.00E+01;1.41E-10;;;;296.50;2.32E-09;;;;;;;;
2.97E+05;1.00E+00;2.30E-09;5.00E+01;1.40E-10;;;;297.00;2.30E-09;;;;;;;;
2.98E+05;1.00E+00;2.33E-09;5.00E+01;1.41E-10;;;;297.50;2.33E-09;;;;;;;;
2.98E+05;1.00E+00;2.26E-09;5.00E+01;1.40E-10;;;;298.00;2.26E-09;;;;;;;;
2.99E+05;1.00E+00;2.22E-09;5.00E+01;1.42E-10;;;;298.50;2.22E-09;;;;;;;;
2.99E+05;1.00E+00;2.20E-09;5.00E+01;1.42E-10;;;;299.00;2.20E-09;;;;;;;;
3.00E+05;1.00E+00;2.21E-09;5.00E+01;1.41E-10;;;;299.50;2.21E-09;;;;;;;;
3.00E+05;1.00E+00;2.19E-09;5.00E+01;1.42E-10;;;;300.00;2.19E-09;;;;;;;;
3.01E+05;1.00E+00;2.16E-09;5.00E+01;1.42E-10;;;;300.50;2.16E-09;;;;;;;;
3.01E+05;1.00E+00;2.14E-09;5.00E+01;1.42E-10;;;;301.00;2.14E-09;;;;;;;;
3.02E+05;1.00E+00;2.13E-09;5.00E+01;1.42E-10;;;;301.50;2.13E-09;;;;;;;;
3.02E+05;1.00E+00;2.14E-09;5.00E+01;1.42E-10;;;;302.00;2.14E-09;;;;;;;;
3.03E+05;1.00E+00;2.13E-09;5.00E+01;1.41E-10;;;;302.50;2.13E-09;;;;;;;;
3.03E+05;1.00E+00;2.11E-09;5.00E+01;1.42E-10;;;;303.00;2.11E-09;;;;;;;;
3.04E+05;1.00E+00;2.12E-09;5.00E+01;1.43E-10;;;;303.50;2.12E-09;;;;;;;;
3.04E+05;1.00E+00;2.13E-09;5.00E+01;1.42E-10;;;;304.00;2.13E-09;;;;;;;;
3.05E+05;1.00E+00;2.11E-09;5.00E+01;1.40E-10;;;;304.50;2.11E-09;;;;;;;;
3.05E+05;1.00E+00;2.11E-09;5.00E+01;1.40E-10;;;;305.00;2.11E-09;;;;;;;;
3.06E+05;1.00E+00;2.10E-09;5.00E+01;1.41E-10;;;;305.50;2.10E-09;;;;;;;;
3.06E+05;1.00E+00;2.09E-09;5.00E+01;1.40E-10;;;;306.00;2.09E-09;;;;;;;;
3.07E+05;1.00E+00;2.08E-09;5.00E+01;1.41E-10;;;;306.50;2.08E-09;;;;;;;;
3.07E+05;1.00E+00;2.05E-09;5.00E+01;1.43E-10;;;;307.00;2.05E-09;;;;;;;;
3.08E+05;1.00E+00;2.01E-09;5.00E+01;1.41E-10;;;;307.50;2.01E-09;;;;;;;;
3.08E+05;1.00E+00;2.02E-09;5.00E+01;1.40E-10;;;;308.00;2.02E-09;;;;;;;;
3.09E+05;1.00E+00;2.01E-09;5.00E+01;1.41E-10;;;;308.50;2.01E-09;;;;;;;;
3.09E+05;1.00E+00;2.03E-09;5.00E+01;1.41E-10;;;;309.00;2.03E-09;;;;;;;;
3.10E+05;1.00E+00;2.00E-09;5.00E+01;1.40E-10;;;;309.50;2.00E-09;;;;;;;;
3.10E+05;1.00E+00;4.07E-09;5.00E+01;2.00E-08;;;;310.00;4.07E-09;;;;;;;;
3.11E+05;1.00E+00;4.04E-09;5.00E+01;2.01E-08;;;;310.50;4.04E-09;;;;;;;;
3.11E+05;1.00E+00;4.22E-09;5.00E+01;2.01E-08;;;;311.00;4.22E-09;;;;;;;;
3.12E+05;1.00E+00;4.19E-09;5.00E+01;2.01E-08;;;;311.50;4.19E-09;;;;;;;;
3.12E+05;1.00E+00;4.17E-09;5.00E+01;2.01E-08;;;;312.00;4.17E-09;;;;;;;;
3.13E+05;1.00E+00;4.23E-09;5.00E+01;2.01E-08;;;;312.50;4.23E-09;;;;;;;;
3.13E+05;1.00E+00;4.24E-09;5.00E+01;2.01E-08;;;;313.00;4.24E-09;;;;;;;;
3.14E+05;1.00E+00;4.36E-09;5.00E+01;2.01E-08;;;;313.50;4.36E-09;;;;;;;;
3.14E+05;1.00E+00;4.21E-09;5.00E+01;2.01E-08;;;;314.00;4.21E-09;;;;;;;;
3.15E+05;1.00E+00;4.21E-09;5.00E+01;2.01E-08;;;;314.50;4.21E-09;;;;;;;;
3.15E+05;1.00E+00;4.11E-09;5.00E+01;2.01E-08;;;;315.00;4.11E-09;;;;;;;;
3.16E+05;1.00E+00;4.19E-09;5.00E+01;2.01E-08;;;;315.50;4.19E-09;;;;;;;;
3.16E+05;1.00E+00;4.11E-09;5.00E+01;2.01E-08;;;;316.00;4.11E-09;;;;;;;;
3.17E+05;1.00E+00;4.01E-09;5.00E+01;2.01E-08;;;;316.50;4.01E-09;;;;;;;;
3.17E+05;1.00E+00;3.82E-09;5.00E+01;2.01E-08;;;;317.00;3.82E-09;;;;;;;;
3.18E+05;1.00E+00;3.78E-09;5.00E+01;2.01E-08;;;;317.50;3.78E-09;;;;;;;;
3.18E+05;1.00E+00;3.76E-09;5.00E+01;2.01E-08;;;;318.00;3.76E-09;;;;;;;;
3.19E+05;1.00E+00;3.77E-09;5.00E+01;2.00E-08;;;;318.50;3.77E-09;;;;;;;;
3.19E+05;1.00E+00;3.67E-09;5.00E+01;2.00E-08;;;;319.00;3.67E-09;;;;;;;;
3.20E+05;1.00E+00;3.64E-09;5.00E+01;2.00E-08;;;;319.50;3.64E-09;;;;;;;;
3.20E+05;1.00E+00;2.51E-09;5.00E+01;4.99E-10;;;;320.00;2.51E-09;;;;;;;;
3.21E+05;1.00E+00;2.23E-09;5.00E+01;1.42E-10;;;;320.50;2.23E-09;;;;;;;;
3.21E+05;1.00E+00;2.14E-09;5.00E+01;1.36E-10;;;;321.00;2.14E-09;;;;;;;;
3.22E+05;1.00E+00;2.06E-09;5.00E+01;1.38E-10;;;;321.50;2.06E-09;;;;;;;;
3.22E+05;1.00E+00;2.01E-09;5.00E+01;1.39E-10;;;;322.00;2.01E-09;;;;;;;;
3.23E+05;1.00E+00;1.97E-09;5.00E+01;1.41E-10;;;;322.50;1.97E-09;;;;;;;;
3.23E+05;1.00E+00;1.95E-09;5.00E+01;1.43E-10;;;;323.00;1.95E-09;;;;;;;;
3.24E+05;1.00E+00;1.91E-09;5.00E+01;1.42E-10;;;;323.50;1.91E-09;;;;;;;;
3.24E+05;1.00E+00;1.90E-09;5.00E+01;1.44E-10;;;;324.00;1.90E-09;;;;;;;;
3.25E+05;1.00E+00;1.86E-09;5.00E+01;1.42E-10;;;;324.50;1.86E-09;;;;;;;;
3.25E+05;1.00E+00;1.86E-09;5.00E+01;1.42E-10;;;;325.00;1.86E-09;;;;;;;;
3.26E+05;1.00E+00;1.82E-09;5.00E+01;1.43E-10;;;;325.50;1.82E-09;;;;;;;;
3.26E+05;1.00E+00;1.82E-09;5.00E+01;1.43E-10;;;;326.00;1.82E-09;;;;;;;;
3.27E+05;1.00E+00;1.80E-09;5.00E+01;1.44E-10;;;;326.50;1.80E-09;;;;;;;;
3.27E+05;1.00E+00;1.79E-09;5.00E+01;1.44E-10;;;;327.00;1.79E-09;;;;;;;;
3.28E+05;1.00E+00;1.80E-09;5.00E+01;1.42E-10;;;;327.50;1.80E-09;;;;;;;;
3.28E+05;1.00E+00;1.79E-09;5.00E+01;1.43E-10;;;;328.00;1.79E-09;;;;;;;;
3.29E+05;1.00E+00;1.80E-09;5.00E+01;1.45E-10;;;;328.50;1.80E-09;;;;;;;;
3.29E+05;1.00E+00;1.75E-09;5.00E+01;1.45E-10;;;;329.00;1.75E-09;;;;;;;;
3.30E+05;1.00E+00;1.75E-09;5.00E+01;1.43E-10;;;;329.50;1.75E-09;;;;;;;;
3.30E+05;1.00E+00;3.16E-09;5.00E+01;2.02E-08;;;;330.00;3.16E-09;;;;;;;;
3.31E+05;1.00E+00;3.12E-09;5.00E+01;2.02E-08;;;;330.50;3.12E-09;;;;;;;;
3.31E+05;1.00E+00;3.09E-09;5.00E+01;2.02E-08;;;;331.00;3.09E-09;;;;;;;;
3.32E+05;1.00E+00;3.11E-09;5.00E+01;2.02E-08;;;;331.50;3.11E-09;;;;;;;;
3.32E+05;1.00E+00;3.07E-09;5.00E+01;2.02E-08;;;;332.00;3.07E-09;;;;;;;;
3.33E+05;1.00E+00;3.11E-09;5.00E+01;2.02E-08;;;;332.50;3.11E-09;;;;;;;;
3.33E+05;1.00E+00;3.01E-09;5.00E+01;2.02E-08;;;;333.00;3.01E-09;;;;;;;;
3.34E+05;1.00E+00;3.01E-09;5.00E+01;2.01E-08;;;;333.50;3.01E-09;;;;;;;;
3.34E+05;1.00E+00;2.99E-09;5.00E+01;2.01E-08;;;;334.00;2.99E-09;;;;;;;;
3.35E+05;1.00E+00;2.95E-09;5.00E+01;2.01E-08;;;;334.50;2.95E-09;;;;;;;;
3.35E+05;1.00E+00;2.90E-09;5.00E+01;2.01E-08;;;;335.00;2.90E-09;;;;;;;;
3.36E+05;1.00E+00;2.90E-09;5.00E+01;2.01E-08;;;;335.50;2.90E-09;;;;;;;;
3.36E+05;1.00E+00;2.83E-09;5.00E+01;2.01E-08;;;;336.00;2.83E-09;;;;;;;;
3.37E+05;1.00E+00;2.75E-09;5.00E+01;2.01E-08;;;;336.50;2.75E-09;;;;;;;;
3.37E+05;1.00E+00;2.76E-09;5.00E+01;2.01E-08;;;;337.00;2.76E-09;;;;;;;;
3.38E+05;1.00E+00;2.77E-09;5.00E+01;2.00E-08;;;;337.50;2.77E-09;;;;;;;;
3.38E+05;1.00E+00;2.69E-09;5.00E+01;2.00E-08;;;;338.00;2.69E-09;;;;;;;;
3.39E+05;1.00E+00;2.71E-09;5.00E+01;2.00E-08;;;;338.50;2.71E-09;;;;;;;;
3.39E+05;1.00E+00;2.69E-09;5.00E+01;2.00E-08;;;;339.00;2.69E-09;;;;;;;;
3.40E+05;1.00E+00;2.64E-09;5.00E+01;2.00E-08;;;;339.50;2.64E-09;;;;;;;;
3.40E+05;1.00E+00;1.84E-09;5.00E+01;1.07E-09;;;;340.00;1.84E-09;;;;;;;;
3.41E+05;1.00E+00;1.62E-09;5.00E+01;1.43E-10;;;;340.50;1.62E-09;;;;;;;;
3.41E+05;1.00E+00;1.53E-09;5.00E+01;1.37E-10;;;;341.00;1.53E-09;;;;;;;;
3.42E+05;1.00E+00;1.49E-09;5.00E+01;1.38E-10;;;;341.50;1.49E-09;;;;;;;;
3.42E+05;1.00E+00;1.48E-09;5.00E+01;1.39E-10;;;;342.00;1.48E-09;;;;;;;;
3.43E+05;1.00E+00;1.46E-09;5.00E+01;1.39E-10;;;;342.50;1.46E-09;;;;;;;;
3.43E+05;1.00E+00;1.44E-09;5.00E+01;1.40E-10;;;;343.00;1.44E-09;;;;;;;;
3.44E+05;1.00E+00;1.44E-09;5.00E+01;1.39E-10;;;;343.51;1.44E-09;;;;;;;;
3.44E+05;1.00E+00;1.43E-09;5.00E+01;1.40E-10;;;;344.00;1.43E-09;;;;;;;;
3.45E+05;1.00E+00;1.42E-09;5.00E+01;1.41E-10;;;;344.50;1.42E-09;;;;;;;;
3.45E+05;1.00E+00;1.42E-09;5.00E+01;1.40E-10;;;;345.00;1.42E-09;;;;;;;;
3.46E+05;1.00E+00;1.39E-09;5.00E+01;1.42E-10;;;;345.50;1.39E-09;;;;;;;;
3.46E+05;1.00E+00;1.38E-09;5.00E+01;1.42E-10;;;;346.00;1.38E-09;;;;;;;;
3.47E+05;1.00E+00;1.37E-09;5.00E+01;1.42E-10;;;;346.50;1.37E-09;;;;;;;;
3.47E+05;1.00E+00;1.39E-09;5.00E+01;1.43E-10;;;;347.00;1.39E-09;;;;;;;;
3.48E+05;1.00E+00;1.40E-09;5.00E+01;1.42E-10;;;;347.50;1.40E-09;;;;;;;;
3.48E+05;1.00E+00;1.39E-09;5.00E+01;1.42E-10;;;;348.00;1.39E-09;;;;;;;;
3.49E+05;1.00E+00;1.39E-09;5.00E+01;1.43E-10;;;;348.50;1.39E-09;;;;;;;;
3.49E+05;1.00E+00;1.38E-09;5.00E+01;1.42E-10;;;;349.00;1.38E-09;;;;;;;;
3.50E+05;1.00E+00;1.39E-09;5.00E+01;1.43E-10;;;;349.50;1.39E-09;;;;;;;;
3.50E+05;1.00E+00;2.55E-09;5.00E+01;2.02E-08;;;;350.00;2.55E-09;;;;;;;;
3.51E+05;1.00E+00;2.57E-09;5.00E+01;2.02E-08;;;;350.50;2.57E-09;;;;;;;;
3.51E+05;1.00E+00;2.64E-09;5.00E+01;2.02E-08;;;;351.00;2.64E-09;;;;;;;;
3.52E+05;1.00E+00;2.66E-09;5.00E+01;2.02E-08;;;;351.50;2.66E-09;;;;;;;;
3.52E+05;1.00E+00;2.70E-09;5.00E+01;2.02E-08;;;;352.00;2.70E-09;;;;;;;;
3.53E+05;1.00E+00;2.69E-09;5.00E+01;2.01E-08;;;;352.50;2.69E-09;;;;;;;;
3.53E+05;1.00E+00;2.64E-09;5.00E+01;2.01E-08;;;;353.00;2.64E-09;;;;;;;;
3.54E+05;1.00E+00;2.57E-09;5.00E+01;2.01E-08;;;;353.50;2.57E-09;;;;;;;;
3.54E+05;1.00E+00;2.53E-09;5.00E+01;2.01E-08;;;;354.00;2.53E-09;;;;;;;;
3.55E+05;1.00E+00;2.54E-09;5.00E+01;2.01E-08;;;;354.50;2.54E-09;;;;;;;;
3.55E+05;1.00E+00;2.54E-09;5.00E+01;2.01E-08;;;;355.00;2.54E-09;;;;;;;;
3.56E+05;1.00E+00;2.58E-09;5.00E+01;2.01E-08;;;;355.50;2.58E-09;;;;;;;;
3.56E+05;1.00E+00;2.55E-09;5.00E+01;2.01E-08;;;;356.00;2.55E-09;;;;;;;;
3.57E+05;1.00E+00;2.50E-09;5.00E+01;2.00E-08;;;;356.50;2.50E-09;;;;;;;;
3.57E+05;1.00E+00;2.47E-09;5.00E+01;2.00E-08;;;;357.00;2.47E-09;;;;;;;;
3.58E+05;1.00E+00;2.44E-09;5.00E+01;2.00E-08;;;;357.50;2.44E-09;;;;;;;;
3.58E+05;1.00E+00;2.44E-09;5.00E+01;2.00E-08;;;;358.00;2.44E-09;;;;;;;;
3.59E+05;1.00E+00;2.42E-09;5.00E+01;2.00E-08;;;;358.50;2.42E-09;;;;;;;;
3.59E+05;1.00E+00;2.44E-09;5.00E+01;2.00E-08;;;;359.00;2.44E-09;;;;;;;;
3.60E+05;1.00E+00;2.45E-09;5.00E+01;2.00E-08;;;;359.50;2.45E-09;;;;;;;;
3.60E+05;1.00E+00;1.72E-09;5.00E+01;3.67E-09;;;;360.00;1.72E-09;;;;;;;;
3.61E+05;1.00E+00;1.51E-09;5.00E+01;1.48E-10;;;;360.50;1.51E-09;;;;;;;;
