File Name: 12_Sample14_device3_It_150kV_VDrain1V_VGate50V.dat;;;;;;;;;;;;;;;;;
File Data: 22/11/2023;13:29:38;;;;;;;;;;;;;;;;
Start V: 0;;;;;;;;;;;;;;;;;
Step V: 0;;;;;;;;;;;;;;;;;
Stop V: 0;;;;;;;;;;;;;;;;;
Range V: 200;;;;;;;;;;;;;;;;;
Delay(ms): 0;;;;;;;;;;;;;;;;;
Auorange: yes;;;;;;;;;;;;;;;;;
Sweep type: log;;;;;;;;;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;;Time (s);IDrain (A);;Time_500uA (s);IDrain_dark (A);;Time_500uA (s);IDrain_raw (A);Fit (A);dI (A)
8.50E+04;1.00E+00;2.50E-07;5.00E+01;1.41E-10;;;;85.00;2.50E-07;;384.5;1.1689E-09;;321.5;2.0555E-09;1.81E-09;2.4965E-10
8.55E+04;1.00E+00;2.47E-07;5.00E+01;1.41E-10;;;;85.50;2.47E-07;;385;1.1587E-09;;322;2.0134E-09;1.80E-09;2.157E-10
8.60E+04;1.00E+00;2.44E-07;5.00E+01;1.41E-10;;;;86.00;2.44E-07;;385.5;1.1622E-09;;322.5;1.9683E-09;1.79E-09;1.787E-10
8.65E+04;1.00E+00;2.42E-07;5.00E+01;1.41E-10;;;;86.50;2.42E-07;;386;1.139E-09;;323;1.9474E-09;1.78E-09;1.6586E-10
8.70E+04;1.00E+00;2.39E-07;5.00E+01;1.41E-10;;;;87.00;2.39E-07;;386.5;1.135E-09;;323.5;1.9134E-09;1.77E-09;1.3988E-10
8.75E+04;1.00E+00;2.36E-07;5.00E+01;1.40E-10;;;;87.50;2.36E-07;;387;1.1399E-09;;324;1.9034E-09;1.77E-09;1.3785E-10
8.80E+04;1.00E+00;2.33E-07;5.00E+01;1.41E-10;;;;88.00;2.33E-07;;387.5;1.134E-09;;324.5;1.8592E-09;1.76E-09;1.0158E-10
8.85E+04;1.00E+00;2.30E-07;5.00E+01;1.40E-10;;;;88.50;2.30E-07;;388;1.1313E-09;;325;1.8585E-09;1.75E-09;1.0877E-10
8.90E+04;1.00E+00;2.26E-07;5.00E+01;1.41E-10;;;;89.00;2.26E-07;;388.5;1.1285E-09;;325.5;1.8151E-09;1.74E-09;7.322E-11
8.95E+04;1.00E+00;2.24E-07;5.00E+01;1.41E-10;;;;89.50;2.24E-07;;389;1.1272E-09;;326;1.8161E-09;1.73E-09;8.202E-11
9.00E+04;1.00E+00;2.21E-07;5.00E+01;1.40E-10;;;;90.00;2.21E-07;;389.5;1.1372E-09;;326.5;1.8034E-09;1.73E-09;7.707E-11
9.05E+04;1.00E+00;2.19E-07;5.00E+01;1.39E-10;;;;90.50;2.19E-07;;390;1.1154E-09;;327;1.7928E-09;1.72E-09;7.419E-11
9.10E+04;1.00E+00;2.15E-07;5.00E+01;1.41E-10;;;;91.00;2.15E-07;;390.5;1.1233E-09;;327.5;1.7952E-09;1.71E-09;8.426E-11
9.15E+04;1.00E+00;2.13E-07;5.00E+01;1.41E-10;;;;91.50;2.13E-07;;391;1.1262E-09;;328;1.7908E-09;1.70E-09;8.749E-11
9.20E+04;1.00E+00;2.09E-07;5.00E+01;1.41E-10;;;;92.00;2.09E-07;;391.5;1.1241E-09;;328.5;1.8026E-09;1.70E-09;1.0687E-10
9.25E+04;1.00E+00;2.07E-07;5.00E+01;1.40E-10;;;;92.50;2.07E-07;;392;1.1037E-09;;329;1.7533E-09;1.69E-09;6.511E-11
9.30E+04;1.00E+00;2.03E-07;5.00E+01;1.41E-10;;;;93.00;2.03E-07;;392.5;1.091E-09;;329.5;1.748E-09;1.68E-09;6.731E-11
9.35E+04;1.00E+00;2.00E-07;5.00E+01;1.41E-10;;;;93.50;2.00E-07;;393;1.1061E-09;;330;3.1605E-09;1.67E-09;1.48726E-09
9.40E+04;1.00E+00;1.97E-07;5.00E+01;1.40E-10;;;;94.00;1.97E-07;;393.5;1.0979E-09;;330.5;3.1188E-09;1.67E-09;1.45297E-09
9.45E+04;1.00E+00;1.93E-07;5.00E+01;1.39E-10;;;;94.50;1.93E-07;;394;1.1123E-09;;331;3.0888E-09;1.66E-09;1.43034E-09
9.50E+04;1.00E+00;1.90E-07;5.00E+01;1.41E-10;;;;95.00;1.90E-07;;394.5;1.0923E-09;;331.5;3.1087E-09;1.65E-09;1.45757E-09
9.55E+04;1.00E+00;1.87E-07;5.00E+01;1.41E-10;;;;95.50;1.87E-07;;395;1.0722E-09;;332;3.0714E-09;1.64E-09;1.42755E-09
9.60E+04;1.00E+00;1.84E-07;5.00E+01;1.41E-10;;;;96.00;1.84E-07;;395.5;1.0675E-09;;332.5;3.1076E-09;1.64E-09;1.47098E-09
9.65E+04;1.00E+00;1.81E-07;5.00E+01;1.40E-10;;;;96.50;1.81E-07;;396;1.062E-09;;333;3.0115E-09;1.63E-09;1.38208E-09
9.70E+04;1.00E+00;1.79E-07;5.00E+01;1.41E-10;;;;97.00;1.79E-07;;396.5;1.0573E-09;;333.5;3.005E-09;1.62E-09;1.38273E-09
9.75E+04;1.00E+00;1.76E-07;5.00E+01;1.42E-10;;;;97.50;1.76E-07;;397;1.0406E-09;;334;2.9892E-09;1.62E-09;1.37404E-09
9.80E+04;1.00E+00;1.73E-07;5.00E+01;1.40E-10;;;;98.00;1.73E-07;;397.5;1.0191E-09;;334.5;2.953E-09;1.61E-09;1.3449E-09
9.85E+04;1.00E+00;1.70E-07;5.00E+01;1.40E-10;;;;98.50;1.70E-07;;398;1.0115E-09;;335;2.9003E-09;1.60E-09;1.29922E-09
9.90E+04;1.00E+00;1.68E-07;5.00E+01;1.40E-10;;;;99.00;1.68E-07;;398.5;1.0064E-09;;335.5;2.8987E-09;1.59E-09;1.3046E-09
9.95E+04;1.00E+00;1.65E-07;5.00E+01;1.40E-10;;;;99.50;1.65E-07;;399;9.8521E-10;;336;2.8305E-09;1.59E-09;1.24334E-09
1.00E+05;1.00E+00;1.62E-07;5.00E+01;1.41E-10;;;;100.00;1.62E-07;;399.5;9.8847E-10;;336.5;2.7543E-09;1.58E-09;1.17403E-09
1.01E+05;1.00E+00;1.60E-07;5.00E+01;1.41E-10;;;;100.50;1.60E-07;;400;9.9544E-10;;337;2.7557E-09;1.57E-09;1.18228E-09
1.01E+05;1.00E+00;1.58E-07;5.00E+01;1.42E-10;;;;101.00;1.58E-07;;;;;337.5;2.7653E-09;1.57E-09;1.19868E-09
1.02E+05;1.00E+00;1.55E-07;5.00E+01;1.41E-10;;;;101.50;1.55E-07;;;;;338;2.6884E-09;1.56E-09;1.12854E-09
1.02E+05;1.00E+00;1.53E-07;5.00E+01;1.41E-10;;;;102.00;1.53E-07;;;;;338.5;2.7065E-09;1.55E-09;1.15336E-09
1.03E+05;1.00E+00;1.51E-07;5.00E+01;1.40E-10;;;;102.50;1.51E-07;;;;;339;2.6875E-09;1.55E-09;1.14103E-09
1.03E+05;1.00E+00;1.49E-07;5.00E+01;1.41E-10;;;;103.00;1.49E-07;;;;;339.5;2.6393E-09;1.54E-09;1.09947E-09
1.04E+05;1.00E+00;1.47E-07;5.00E+01;1.42E-10;;;;103.50;1.47E-07;;;;;340;1.8422E-09;1.53E-09;3.0895E-10
1.04E+05;1.00E+00;1.45E-07;5.00E+01;1.40E-10;;;;104.00;1.45E-07;;;;;340.5;1.6155E-09;1.53E-09;8.88E-11
1.05E+05;1.00E+00;1.43E-07;5.00E+01;1.41E-10;;;;104.50;1.43E-07;;;;;341;1.5321E-09;1.52E-09;1.19E-11
1.05E+05;1.00E+00;1.41E-07;5.00E+01;1.41E-10;;;;105.00;1.41E-07;;;;;341.5;1.4905E-09;1.51E-09;-2.324E-11
1.06E+05;1.00E+00;1.38E-07;5.00E+01;1.41E-10;;;;105.50;1.38E-07;;;;;342;1.4789E-09;1.51E-09;-2.843E-11
1.06E+05;1.00E+00;1.36E-07;5.00E+01;1.41E-10;;;;106.00;1.36E-07;;;;;342.5;1.4581E-09;1.50E-09;-4.285E-11
1.07E+05;1.00E+00;1.35E-07;5.00E+01;1.41E-10;;;;106.50;1.35E-07;;;;;343;1.4398E-09;1.49E-09;-5.483E-11
1.07E+05;1.00E+00;1.33E-07;5.00E+01;1.40E-10;;;;107.00;1.33E-07;;;;;343.51;1.4439E-09;1.49E-09;-4.432E-11
1.08E+05;1.00E+00;1.31E-07;5.00E+01;1.41E-10;;;;107.50;1.31E-07;;;;;344;1.4307E-09;1.48E-09;-5.14E-11
1.08E+05;1.00E+00;1.28E-07;5.00E+01;1.41E-10;;;;108.00;1.28E-07;;;;;344.5;1.4208E-09;1.48E-09;-5.51E-11
1.09E+05;1.00E+00;1.27E-07;5.00E+01;1.41E-10;;;;108.50;1.27E-07;;;;;345;1.4151E-09;1.47E-09;-5.465E-11
1.09E+05;1.00E+00;1.25E-07;5.00E+01;1.42E-10;;;;109.00;1.25E-07;;;;;345.5;1.3897E-09;1.46E-09;-7.393E-11
1.10E+05;1.00E+00;1.23E-07;5.00E+01;1.41E-10;;;;109.50;1.23E-07;;;;;346;1.384E-09;1.46E-09;-7.357E-11
1.10E+05;1.00E+00;1.21E-07;5.00E+01;1.41E-10;;;;110.00;1.21E-07;;;;;346.5;1.3718E-09;1.45E-09;-7.974E-11
1.11E+05;1.00E+00;1.19E-07;5.00E+01;1.41E-10;;;;110.50;1.19E-07;;;;;347;1.3891E-09;1.45E-09;-5.646E-11
1.11E+05;1.00E+00;1.18E-07;5.00E+01;1.40E-10;;;;111.00;1.18E-07;;;;;347.5;1.3954E-09;1.44E-09;-4.422E-11
1.12E+05;1.00E+00;1.17E-07;5.00E+01;1.42E-10;;;;111.50;1.17E-07;;;;;348;1.3906E-09;1.43E-09;-4.312E-11
1.12E+05;1.00E+00;1.15E-07;5.00E+01;1.40E-10;;;;112.00;1.15E-07;;;;;348.5;1.3878E-09;1.43E-09;-4.007E-11
1.13E+05;1.00E+00;1.13E-07;5.00E+01;1.42E-10;;;;112.50;1.13E-07;;;;;349;1.3822E-09;1.42E-09;-3.986E-11
1.13E+05;1.00E+00;1.11E-07;5.00E+01;1.39E-10;;;;113.00;1.11E-07;;;;;349.5;1.3854E-09;1.42E-09;-3.09E-11
1.14E+05;1.00E+00;1.09E-07;5.00E+01;1.40E-10;;;;113.50;1.09E-07;;;;;350;2.5487E-09;1.41E-09;1.13812E-09
1.14E+05;1.00E+00;1.08E-07;5.00E+01;1.40E-10;;;;114.00;1.08E-07;;;;;350.5;2.5714E-09;1.40E-09;1.1665E-09
1.15E+05;1.00E+00;1.06E-07;5.00E+01;1.40E-10;;;;114.50;1.06E-07;;;;;351;2.6379E-09;1.40E-09;1.23864E-09
1.15E+05;1.00E+00;1.04E-07;5.00E+01;1.40E-10;;;;115.00;1.04E-07;;;;;351.5;2.6582E-09;1.39E-09;1.26453E-09
1.16E+05;1.00E+00;1.02E-07;5.00E+01;1.40E-10;;;;115.50;1.02E-07;;;;;352;2.6959E-09;1.39E-09;1.30778E-09
1.16E+05;1.00E+00;1.01E-07;5.00E+01;1.40E-10;;;;116.00;1.01E-07;;;;;352.5;2.6937E-09;1.38E-09;1.31109E-09
1.17E+05;1.00E+00;9.94E-08;5.00E+01;1.41E-10;;;;116.50;9.94E-08;;;;;353;2.6379E-09;1.38E-09;1.26075E-09
1.17E+05;1.00E+00;9.79E-08;5.00E+01;1.40E-10;;;;117.00;9.79E-08;;;;;353.5;2.5736E-09;1.37E-09;1.20187E-09
1.18E+05;1.00E+00;9.66E-08;5.00E+01;1.41E-10;;;;117.50;9.66E-08;;;;;354;2.533E-09;1.37E-09;1.16664E-09
1.18E+05;1.00E+00;9.55E-08;5.00E+01;1.40E-10;;;;118.00;9.55E-08;;;;;354.5;2.5447E-09;1.36E-09;1.18367E-09
1.19E+05;1.00E+00;9.40E-08;5.00E+01;1.40E-10;;;;118.50;9.40E-08;;;;;355;2.5379E-09;1.36E-09;1.18216E-09
1.19E+05;1.00E+00;9.32E-08;5.00E+01;1.40E-10;;;;119.00;9.32E-08;;;;;355.5;2.5752E-09;1.35E-09;1.22471E-09
1.20E+05;1.00E+00;9.16E-08;5.00E+01;1.40E-10;;;;119.50;9.16E-08;;;;;356;2.5539E-09;1.35E-09;1.20861E-09
1.20E+05;1.00E+00;9.00E-08;5.00E+01;1.41E-10;;;;120.00;9.00E-08;;;;;356.5;2.4983E-09;1.34E-09;1.15817E-09
1.21E+05;1.00E+00;8.85E-08;5.00E+01;1.41E-10;;;;120.50;8.85E-08;;;;;357;2.4728E-09;1.34E-09;1.13779E-09
1.21E+05;1.00E+00;8.67E-08;5.00E+01;1.41E-10;;;;121.00;8.67E-08;;;;;357.5;2.4433E-09;1.33E-09;1.11336E-09
1.22E+05;1.00E+00;8.55E-08;5.00E+01;1.40E-10;;;;121.50;8.55E-08;;;;;358;2.4389E-09;1.32E-09;1.11399E-09
1.22E+05;1.00E+00;8.45E-08;5.00E+01;1.40E-10;;;;122.00;8.45E-08;;;;;358.5;2.4192E-09;1.32E-09;1.09928E-09
1.23E+05;1.00E+00;8.35E-08;5.00E+01;1.41E-10;;;;122.50;8.35E-08;;;;;359;2.4353E-09;1.31E-09;1.12032E-09
1.23E+05;1.00E+00;8.22E-08;5.00E+01;1.41E-10;;;;123.00;8.22E-08;;;;;359.5;2.4487E-09;1.31E-09;1.13862E-09
1.24E+05;1.00E+00;8.08E-08;5.00E+01;1.40E-10;;;;123.50;8.08E-08;;;;;360;1.717E-09;1.31E-09;4.1177E-10
1.24E+05;1.00E+00;7.97E-08;5.00E+01;1.40E-10;;;;124.00;7.97E-08;;;;;360.5;1.5056E-09;1.30E-09;2.0519E-10
1.25E+05;1.00E+00;7.90E-08;5.00E+01;1.40E-10;;;;124.50;7.90E-08;;;;;361;1.4207E-09;1.30E-09;1.2506E-10
1.25E+05;1.00E+00;7.78E-08;5.00E+01;1.41E-10;;;;125.00;7.78E-08;;;;;361.5;1.3815E-09;1.29E-09;9.058E-11
1.26E+05;1.00E+00;7.66E-08;5.00E+01;1.41E-10;;;;125.50;7.66E-08;;;;;362;1.327E-09;1.29E-09;4.076E-11
1.26E+05;1.00E+00;7.57E-08;5.00E+01;1.40E-10;;;;126.00;7.57E-08;;;;;362.5;1.2908E-09;1.28E-09;9.2E-12
1.27E+05;1.00E+00;7.39E-08;5.00E+01;1.39E-10;;;;126.50;7.39E-08;;;;;363;1.2686E-09;1.28E-09;-8.4E-12
1.27E+05;1.00E+00;7.32E-08;5.00E+01;1.40E-10;;;;127.00;7.32E-08;;;;;363.5;1.2512E-09;1.27E-09;-2.125E-11
1.28E+05;1.00E+00;7.24E-08;5.00E+01;1.40E-10;;;;127.50;7.24E-08;;;;;364;1.2494E-09;1.27E-09;-1.854E-11
1.28E+05;1.00E+00;7.13E-08;5.00E+01;1.41E-10;;;;128.00;7.13E-08;;;;;364.5;1.2395E-09;1.26E-09;-2.397E-11
1.29E+05;1.00E+00;7.04E-08;5.00E+01;1.40E-10;;;;128.50;7.04E-08;;;;;365;1.2368E-09;1.26E-09;-2.225E-11
1.29E+05;1.00E+00;6.94E-08;5.00E+01;1.42E-10;;;;129.00;6.94E-08;;;;;365.5;1.223E-09;1.25E-09;-3.167E-11
1.30E+05;1.00E+00;6.84E-08;5.00E+01;1.41E-10;;;;129.50;6.84E-08;;;;;366;1.2443E-09;1.25E-09;-6.03E-12
1.30E+05;1.00E+00;6.73E-08;5.00E+01;1.40E-10;;;;130.00;6.73E-08;;;;;366.5;1.2391E-09;1.25E-09;-6.94E-12
1.31E+05;1.00E+00;6.66E-08;5.00E+01;1.41E-10;;;;130.50;6.66E-08;;;;;367;1.2453E-09;1.24E-09;3.51E-12
1.31E+05;1.00E+00;6.50E-08;5.00E+01;1.40E-10;;;;131.00;6.50E-08;;;;;367.5;1.2413E-09;1.24E-09;3.72E-12
1.32E+05;1.00E+00;6.39E-08;5.00E+01;1.39E-10;;;;131.50;6.39E-08;;;;;368;1.2337E-09;1.23E-09;2.8E-13
1.32E+05;1.00E+00;6.27E-08;5.00E+01;1.42E-10;;;;132.00;6.27E-08;;;;;368.5;1.2407E-09;1.23E-09;1.14E-11
1.33E+05;1.00E+00;6.13E-08;5.00E+01;1.41E-10;;;;132.50;6.13E-08;;;;;369;1.2223E-09;1.23E-09;-2.92E-12
1.33E+05;1.00E+00;6.08E-08;5.00E+01;1.41E-10;;;;133.00;6.08E-08;;;;;369.5;1.2045E-09;1.22E-09;-1.669E-11
1.34E+05;1.00E+00;6.03E-08;5.00E+01;1.40E-10;;;;133.50;6.03E-08;;;;;370;2.2139E-09;1.22E-09;9.967E-10
