#scan;iMeasureCycle=1;iMux=0;time=0.136;N=482;LocalTime=27/10/2023 15:39:57;;;;;|IDrain|, |IGate| (A);
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;;;
-39;-3.85E-10;7.933423;0.1999999;-2.74E-12;7.933423;;;;;2.74E-12;3.85E-10
-38.5001;-3.75E-10;8.109846;0.2;-1.50E-13;8.109846;;;;;1.5E-13;3.75E-10
-38;-3.56E-10;8.286116;0.2000001;-3.36E-12;8.286116;;;;;3.36E-12;3.56E-10
-37.5;-3.57E-10;8.462485;0.2;2.10E-13;8.462485;;;;;2.1E-13;3.57E-10
-37.0001;-3.40E-10;8.638926;0.1999999;-1.46E-12;8.638926;;;;;1.46E-12;3.4E-10
-36.5;-3.27E-10;8.815311;0.1999998;-8.50E-13;8.815311;;;;;8.5E-13;3.27E-10
-36;-3.11E-10;8.991806;0.1999998;-1.28E-12;8.991806;;;;;1.28E-12;3.11E-10
-35.5001;-2.99E-10;9.168207;0.1999997;8.80E-13;9.168207;;;;;8.8E-13;2.99E-10
-35.0001;-2.89E-10;9.34455;0.2;1.29E-12;9.34455;;;;;1.29E-12;2.89E-10
-34.5001;-2.84E-10;9.527397;0.1999998;4.88E-12;9.527397;;;;;4.88E-12;2.84E-10
-34.0001;-2.78E-10;9.703645;0.1999998;7.91E-12;9.703645;;;;;7.91E-12;2.78E-10
-33.5;-2.65E-10;9.913977;0.2000002;6.05E-12;9.913977;;;;;6.05E-12;2.65E-10
-33;-2.58E-10;10.090432;0.2;1.24E-11;10.090432;;;;;1.24E-11;2.58E-10
-32.5;-2.44E-10;10.266778;0.1999998;1.68E-11;10.266778;;;;;1.68E-11;2.44E-10
-32.0001;-2.34E-10;10.443272;0.2;2.22E-11;10.443272;;;;;2.22E-11;2.34E-10
-31.5;-2.23E-10;10.619571;0.2000001;2.77E-11;10.619571;;;;;2.77E-11;2.23E-10
-31.0001;-2.14E-10;10.795864;0.2000001;3.60E-11;10.795864;;;;;3.6E-11;2.14E-10
-30.5;-2.01E-10;10.972182;0.1999999;4.62E-11;10.972182;;;;;4.62E-11;2.01E-10
-30.0001;-1.92E-10;11.148605;0.2000001;6.18E-11;11.148605;;;;;6.18E-11;1.92E-10
-29.5;-1.87E-10;11.324851;0.2;8.29E-11;11.324851;;;;;8.29E-11;1.87E-10
-29.0001;-1.76E-10;11.503723;0.2000001;1.05E-10;11.503723;;;;;1.05E-10;1.76E-10
-28.5;-1.62E-10;11.679916;0.2;1.32E-10;11.679916;;;;;1.32E-10;1.62E-10
-28;-1.64E-10;11.880208;0.1999998;1.71E-10;11.880208;;;;;1.71E-10;1.64E-10
-27.5001;-1.48E-10;12.056573;0.1999999;2.17E-10;12.056573;;;;;2.17E-10;1.48E-10
-27;-1.44E-10;12.23279;0.2;2.83E-10;12.23279;;;;;2.83E-10;1.44E-10
-26.5;-1.28E-10;12.444077;0.1999997;3.48E-10;12.444077;;;;;3.48E-10;1.28E-10
-26.0001;-1.25E-10;12.620454;0.2;4.43E-10;12.620454;;;;;4.43E-10;1.25E-10
-25.5001;-1.16E-10;12.796883;0.2000001;5.71E-10;12.796883;;;;;5.71E-10;1.16E-10
-25.0001;-1.08E-10;12.973095;0.1999998;7.27E-10;12.973095;;;;;7.27E-10;1.08E-10
-24.5;-1.02E-10;13.149537;0.2;8.97E-10;13.149537;;;;;8.97E-10;1.02E-10
-24;-8.64E-11;13.32572;0.2;1.12E-09;13.32572;;;;;1.12E-09;8.64E-11
-23.5001;-8.01E-11;13.502204;0.1999997;1.40E-09;13.502204;;;;;1.4E-09;8.01E-11
-23;-7.03E-11;13.678397;0.2;1.69E-09;13.678397;;;;;1.69E-09;7.03E-11
-22.5001;-6.53E-11;13.854803;0.2;2.12E-09;13.854803;;;;;2.12E-09;6.53E-11
-22;-6.28E-11;14.042114;0.2;2.58E-09;14.042114;;;;;2.58E-09;6.28E-11
-21.5001;-4.73E-11;14.218311;0.2000004;3.09E-09;14.218311;;;;;3.09E-09;4.73E-11
-21;-5.24E-11;14.429108;0.2;3.77E-09;14.429108;;;;;3.77E-09;5.24E-11
-20.5;-3.63E-11;14.605195;0.1999999;4.51E-09;14.605195;;;;;4.51E-09;3.63E-11
-20;-3.49E-11;14.781404;0.2;5.37E-09;14.781404;;;;;5.37E-09;3.49E-11
-19.5;-2.40E-11;14.958992;0.1999999;6.41E-09;14.958992;;;;;6.41E-09;2.4E-11
-19.0001;-1.46E-11;15.13512;0.1999995;7.65E-09;15.13512;;;;;7.65E-09;1.46E-11
-18.5;-1.20E-11;15.311182;0.1999998;9.13E-09;15.311182;;;;;9.13E-09;1.2E-11
-18;-5.25E-12;15.481411;0.2000016;1.08E-08;15.481411;;;;;1.08E-08;5.25E-12
-17.5;6.38E-12;15.631294;0.2;1.28E-08;15.631294;;;;;1.28E-08;6.38E-12
-17;1.42E-11;15.7812;0.1999996;1.47E-08;15.7812;;;;;1.47E-08;1.42E-11
-16.5001;2.30E-11;15.935984;0.1999993;1.69E-08;15.935984;;;;;1.69E-08;2.3E-11
-16.0001;3.59E-11;16.085918;0.2000015;1.97E-08;16.085918;;;;;1.97E-08;3.59E-11
-15.5;3.45E-11;16.235827;0.2000011;2.30E-08;16.235827;;;;;0.000000023;3.45E-11
-15;3.40E-11;16.424679;0.2000022;2.65E-08;16.424679;;;;;2.65E-08;3.4E-11
-14.5001;4.24E-11;16.574643;0.2;3.03E-08;16.574643;;;;;3.03E-08;4.24E-11
-14.0001;5.17E-11;16.724493;0.2000012;3.45E-08;16.724493;;;;;3.45E-08;5.17E-11
-13.5;5.79E-11;16.909791;0.1999989;3.92E-08;16.909791;;;;;3.92E-08;5.79E-11
-13;6.01E-11;17.059667;0.1999958;4.52E-08;17.059667;;;;;4.52E-08;6.01E-11
-12.5001;6.97E-11;17.209496;0.2000011;5.02E-08;17.209496;;;;;5.02E-08;6.97E-11
-12;7.41E-11;17.359311;0.2000002;5.61E-08;17.359311;;;;;5.61E-08;7.41E-11
-11.5001;7.90E-11;17.524971;0.2000001;6.39E-08;17.524971;;;;;6.39E-08;7.9E-11
-11.0001;8.93E-11;17.674801;0.2;7.21E-08;17.674801;;;;;7.21E-08;8.93E-11
-10.5001;9.47E-11;17.82474;0.2000039;8.04E-08;17.82474;;;;;8.04E-08;9.47E-11
-10;9.67E-11;17.974568;0.1999989;8.90E-08;17.974568;;;;;0.000000089;9.67E-11
-9.5001;9.87E-11;18.124626;0.1999957;1.01E-07;18.124626;;;;;0.000000101;9.87E-11
-9;1.06E-10;18.280208;0.2;1.09E-07;18.280208;;;;;0.000000109;1.06E-10
-8.5;1.11E-10;18.445234;0.2000001;1.21E-07;18.445234;;;;;0.000000121;1.11E-10
-8.0001;1.14E-10;18.595102;0.1999997;1.36E-07;18.595102;;;;;0.000000136;1.14E-10
-7.5;1.24E-10;18.744911;0.1999997;1.48E-07;18.744911;;;;;0.000000148;1.24E-10
-7.0001;1.23E-10;18.932532;0.2000003;1.61E-07;18.932532;;;;;0.000000161;1.23E-10
-6.5;1.32E-10;19.08242;0.2000003;1.81E-07;19.08242;;;;;0.000000181;1.32E-10
