File Name: 37_Sample12_device3_trfSat_dark.dat;;;;;;;;;
File Data: 15/12/2023;15:40:04;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
3.80E+04;1.00E+00;4.08E-08;1.80E+01;4.43E-10;;;1.80E+01;4.0752E-08;4.4263E-10
3.85E+04;1.00E+00;4.94E-08;1.90E+01;3.55E-10;;;1.90E+01;4.935E-08;3.5504E-10
3.90E+04;1.00E+00;5.54E-08;2.00E+01;2.91E-10;;;2.00E+01;5.5431E-08;2.9138E-10
3.95E+04;1.00E+00;6.48E-08;2.10E+01;2.61E-10;;;2.10E+01;6.4762E-08;2.6069E-10
4.00E+04;1.00E+00;7.45E-08;2.20E+01;2.29E-10;;;2.20E+01;7.4518E-08;2.292E-10
4.05E+04;1.00E+00;8.53E-08;2.30E+01;2.03E-10;;;2.30E+01;8.5335E-08;2.0342E-10
4.10E+04;1.00E+00;9.88E-08;2.40E+01;1.87E-10;;;2.40E+01;9.8773E-08;1.8716E-10
4.15E+04;1.00E+00;1.12E-07;2.50E+01;1.81E-10;;;2.50E+01;1.1153E-07;1.8057E-10
4.20E+04;1.00E+00;1.27E-07;2.60E+01;1.95E-10;;;2.60E+01;1.2659E-07;1.9538E-10
4.25E+04;1.00E+00;1.44E-07;2.70E+01;1.77E-10;;;2.70E+01;1.4397E-07;1.7746E-10
4.30E+04;1.00E+00;1.61E-07;2.80E+01;1.79E-10;;;2.80E+01;1.6096E-07;1.7879E-10
4.35E+04;1.00E+00;1.81E-07;2.90E+01;1.77E-10;;;2.90E+01;1.8094E-07;1.7683E-10
4.40E+04;1.00E+00;2.00E-07;3.00E+01;1.78E-10;;;3.00E+01;2.0028E-07;1.7755E-10
4.45E+04;1.00E+00;2.25E-07;3.10E+01;1.77E-10;;;3.10E+01;2.2481E-07;1.7718E-10
4.50E+04;1.00E+00;2.51E-07;3.20E+01;1.79E-10;;;3.20E+01;2.5104E-07;1.7881E-10
4.55E+04;1.00E+00;2.79E-07;3.30E+01;1.78E-10;;;3.30E+01;2.7873E-07;1.7822E-10
4.60E+04;1.00E+00;3.05E-07;3.40E+01;2.18E-10;;;3.40E+01;3.0481E-07;2.1773E-10
4.65E+04;1.00E+00;3.37E-07;3.50E+01;2.15E-10;;;3.50E+01;3.3679E-07;2.1509E-10
4.70E+04;1.00E+00;3.73E-07;3.60E+01;1.80E-10;;;3.60E+01;3.7329E-07;1.7958E-10
4.75E+04;1.00E+00;4.11E-07;3.70E+01;1.81E-10;;;3.70E+01;4.1113E-07;1.8062E-10
4.80E+04;1.00E+00;4.49E-07;3.80E+01;1.79E-10;;;3.80E+01;4.4852E-07;1.791E-10
4.85E+04;1.00E+00;4.89E-07;3.90E+01;1.79E-10;;;3.90E+01;4.8878E-07;1.7909E-10
