File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
4.20E+04;1.00E+00;2.02E-07;2.50E+01;1.86E-10;;;2.50E+01;2.0226E-07;1.8641E-10
4.25E+04;1.00E+00;2.22E-07;2.60E+01;1.88E-10;;;2.60E+01;2.2216E-07;1.8763E-10
4.30E+04;1.00E+00;2.53E-07;2.70E+01;1.87E-10;;;2.70E+01;2.5342E-07;1.874E-10
4.35E+04;1.00E+00;2.76E-07;2.80E+01;1.90E-10;;;2.80E+01;2.7555E-07;1.8987E-10
4.40E+04;1.00E+00;3.05E-07;2.90E+01;1.92E-10;;;2.90E+01;3.0474E-07;1.9171E-10
4.45E+04;1.00E+00;3.38E-07;3.00E+01;1.93E-10;;;3.00E+01;3.3813E-07;1.9312E-10
4.50E+04;1.00E+00;3.74E-07;3.10E+01;1.94E-10;;;3.10E+01;3.7386E-07;1.9377E-10
4.55E+04;1.00E+00;4.04E-07;3.20E+01;1.84E-10;;;3.20E+01;4.0351E-07;1.8378E-10
4.60E+04;1.00E+00;4.44E-07;3.30E+01;9.31E-10;;;3.30E+01;4.4376E-07;9.306E-10
4.65E+04;1.00E+00;4.89E-07;3.40E+01;1.99E-10;;;3.40E+01;4.8889E-07;1.9871E-10
4.70E+04;1.00E+00;5.27E-07;3.50E+01;1.97E-10;;;3.50E+01;5.2742E-07;1.9685E-10
4.75E+04;1.00E+00;5.79E-07;3.60E+01;1.96E-10;;;3.60E+01;5.7884E-07;1.9629E-10
4.80E+04;1.00E+00;6.27E-07;3.70E+01;1.97E-10;;;3.70E+01;6.2697E-07;1.968E-10
4.85E+04;1.00E+00;6.77E-07;3.80E+01;1.99E-10;;;3.80E+01;6.7691E-07;1.9941E-10
4.90E+04;1.00E+00;7.32E-07;3.90E+01;1.96E-10;;;3.90E+01;7.3249E-07;1.9582E-10
