#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
-10;4.54E-11;16.349489;1;9.21E-06;16.349489;;;0.003034798
-9.5001;6.14E-11;16.499402;1;9.49E-06;16.499402;;;0.003080584
-9;6.10E-11;16.650912;1;9.78E-06;16.650912;;;0.003127299
-8.5001;7.74E-11;16.800776;1;1.01E-05;16.800776;;;0.00317805
-8;9.02E-11;16.96119;1;1.04E-05;16.96119;;;0.003224903
-7.5;9.83E-11;17.11448;1;1.06E-05;17.11448;;;0.003255764
-7;1.15E-10;17.264259;1;1.09E-05;17.264259;;;0.003301515
-6.5001;1.09E-10;17.436543;1;1.12E-05;17.436543;;;0.00334664
-6;1.44E-10;17.586382;1;1.15E-05;17.586382;;;0.003391165
-5.5;1.44E-10;17.736308;1;1.18E-05;17.736308;;;0.003435113
-5.0001;1.62E-10;17.886124;1;1.21E-05;17.886124;;;0.003478505
-4.5;1.50E-10;18.053907;1;1.24E-05;18.053907;;;0.003521363
-4.0001;1.53E-10;18.203717;1;1.27E-05;18.203717;;;0.003563706
-3.5;1.65E-10;18.353544;1;1.30E-05;18.353544;;;0.003605551
-3;1.79E-10;18.503385;1;1.34E-05;18.503385;;;0.003660601
-2.5001;1.81E-10;18.65341;0.999999;1.37E-05;18.65341;;;0.003701351
-2.0001;1.75E-10;18.803185;1;1.40E-05;18.803185;;;0.003741657
-1.5001;1.95E-10;18.965968;1;1.43E-05;18.965968;;;0.003781534
-1.0001;1.89E-10;19.115995;1;1.46E-05;19.115995;;;0.003820995
-0.5;2.06E-10;19.265918;1;1.49E-05;19.265918;;;0.003860052
-0.0001;1.82E-10;19.441066;1;1.52E-05;19.441066;;;0.003898718
0.5;1.96E-10;19.590933;1;1.55E-05;19.590933;;;0.003937004
0.9999;1.97E-10;19.740797;1;1.58E-05;19.740797;;;0.003974921
1.5;1.93E-10;19.89057;1;1.62E-05;19.89057;;;0.004024922
2;2.20E-10;20.058849;1;1.65E-05;20.058849;;;0.004062019
2.4999;2.02E-10;20.208667;1;1.68E-05;20.208667;;;0.00409878
3;2.28E-10;20.358535;1;1.71E-05;20.358535;;;0.004135215
3.5;2.52E-10;20.508424;1;1.74E-05;20.508424;;;0.004171331
4;2.46E-10;20.658447;1;1.77E-05;20.658447;;;0.004207137
4.4999;2.28E-10;20.808216;0.999999;1.81E-05;20.808216;;;0.004254409
5;2.39E-10;20.975117;1;1.84E-05;20.975117;;;0.004289522
5.4999;2.80E-10;21.125033;1;1.87E-05;21.125033;;;0.00432435
6;3.00E-10;21.274884;1;1.90E-05;21.274884;;;0.004358899
6.4999;2.94E-10;21.459634;1;1.93E-05;21.459634;;;0.004393177
6.9999;2.74E-10;21.609543;1;1.97E-05;21.609543;;;0.004438468
7.5;2.76E-10;21.759473;1;2.00E-05;21.759473;;;0.004472136
8;2.65E-10;21.909585;1;2.03E-05;21.909585;;;0.004505552
8.4999;2.68E-10;22.064739;0.999999;2.06E-05;22.064739;;;0.004538722
9;2.58E-10;22.214605;1;2.10E-05;22.214605;;;0.004582576
9.5;2.73E-10;22.364525;0.999999;2.13E-05;22.364525;;;0.004615192
10;2.89E-10;22.514399;1;2.16E-05;22.514399;;;0.00464758
10.4999;3.01E-10;22.665952;1;2.19E-05;22.665952;;;0.004679744
10.9999;2.94E-10;22.815941;1;2.23E-05;22.815941;;;0.004722288
11.5;2.99E-10;22.98072;1;2.26E-05;22.98072;;;0.004753946
12;3.20E-10;23.130694;1;2.29E-05;23.130694;;;0.004785394
12.4999;3.38E-10;23.280494;1;2.32E-05;23.280494;;;0.004816638
13;3.41E-10;23.465519;1;2.36E-05;23.465519;;;0.004857983
13.5001;3.56E-10;23.615449;1;2.39E-05;23.615449;;;0.004888763
13.9999;3.76E-10;23.76538;1;2.42E-05;23.76538;;;0.00491935
