#scan;iMeasureCycle=1;iMux=0;time=0.13;N=482;LocalTime=27/10/2023 16:04:47;;;;;;|IDrain|, |IGate| (A);;;ON/OFF
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (A^1/2);;;;;;2420000000
-29.5;-1.77E-10;11.290316;1.000001;3.70E-13;11.290316;;;6.08E-07;;;3.70E-13;1.77E-10;;
-29;-1.67E-10;11.468796;0.999999;7.00E-13;11.468796;;;8.37E-07;;;7.00E-13;1.67E-10;;
-28.5;-1.55E-10;11.645084;0.999999;5.50E-13;11.645084;;;7.42E-07;;;5.50E-13;1.55E-10;;
-28;-1.42E-10;11.821437;1;1.30E-13;11.821437;;;3.61E-07;;;1.30E-13;1.42E-10;;
-27.5001;-1.40E-10;12.000087;0.999999;3.34E-12;12.000087;;;1.83E-06;;;3.34E-12;1.40E-10;;
-27;-1.33E-10;12.17648;0.999999;6.41E-12;12.17648;;;2.53E-06;;;6.41E-12;1.33E-10;;
-26.5;-1.22E-10;12.371962;0.999999;5.49E-12;12.371962;;;2.34E-06;;;5.49E-12;1.22E-10;;
-26;-1.12E-10;12.548354;0.999999;8.73E-12;12.548354;;;2.95E-06;;;8.73E-12;1.12E-10;;
-25.5001;-1.08E-10;12.724562;0.999999;1.52E-11;12.724562;;;3.90E-06;;;1.52E-11;1.08E-10;;
-25;-9.54E-11;12.935696;1;1.60E-11;12.935696;;;0.000004;;;1.60E-11;9.54E-11;;
-24.5001;-8.93E-11;13.111927;0.999999;2.51E-11;13.111927;;;5.01E-06;;;2.51E-11;8.93E-11;;
-24;-8.02E-11;13.288287;0.999999;3.48E-11;13.288287;;;5.90E-06;;;3.48E-11;8.02E-11;;
-23.5001;-7.41E-11;13.464579;0.999999;4.98E-11;13.464579;;;7.06E-06;;;4.98E-11;7.41E-11;;
-23;-6.40E-11;13.64112;1.000001;6.64E-11;13.64112;;;8.15E-06;;;6.64E-11;6.40E-11;;
-22.5001;-5.87E-11;13.817341;0.999999;9.44E-11;13.817341;;;9.72E-06;;;9.44E-11;5.87E-11;;
-22;-5.13E-11;13.993878;0.999999;1.34E-10;13.993878;;;1.16E-05;;;1.34E-10;5.13E-11;;
