#scan;iMeasureCycle=1;iMux=0;time=0.146;N=482;LocalTime=31/10/2023 12:19:24;;;;;;|IDrain|, |IGate| (A);;;ON/OFF;;IDrain_max;1.70E-06
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2);;;;;;;;IDrain_off_avg;4.27E-10
-30.5;2.75E-10;10.978223;1;-4.25E-10;10.978223;;;0;;;4.25E-10;2.75E-10;;;;;
-30;2.75E-10;11.1545;1;-4.21E-10;11.1545;;;0;;;4.21E-10;2.75E-10;;;;;
-29.5;2.90E-10;11.33069;1;-4.28E-10;11.33069;;;0;;;4.28E-10;2.90E-10;;;;;
-29.0001;2.89E-10;11.508645;1;-4.21E-10;11.508645;;;0;;;4.21E-10;2.89E-10;;;;;
-28.5001;2.99E-10;11.68494;0.999999;-4.21E-10;11.68494;;;0;;;4.21E-10;2.99E-10;;;;;
-28.0001;3.09E-10;11.861334;1;-4.22E-10;11.861334;;;0;;;4.22E-10;3.09E-10;;;;;
-27.5001;3.06E-10;12.043808;1;-4.16E-10;12.043808;;;0;;;4.16E-10;3.06E-10;;;;;
-27;3.11E-10;12.220075;1;-4.13E-10;12.220075;;;0;;;4.13E-10;3.11E-10;;;;;
-26.5;2.50E-10;12.423286;0.999999;-3.54E-10;12.423286;;;0;;;3.54E-10;2.50E-10;;;;;
-26;3.09E-10;12.599728;1;-4.01E-10;12.599728;;;0;;;4.01E-10;3.09E-10;;;;;
-25.5;3.16E-10;12.776359;1;-4.03E-10;12.776359;;;0;;;4.03E-10;3.16E-10;;;;;
-25.0001;3.24E-10;12.953226;0.999999;-4.00E-10;12.953226;;;0;;;4.00E-10;3.24E-10;;;;;
-24.5;3.32E-10;13.129465;0.999999;-4.01E-10;13.129465;;;0;;;4.01E-10;3.32E-10;;;;;
-24;3.29E-10;13.305789;0.999999;-3.94E-10;13.305789;;;0;;;3.94E-10;3.29E-10;;;;;
-23.5;3.30E-10;13.482166;1;-3.87E-10;13.482166;;;0;;;3.87E-10;3.30E-10;;;;;
-23;3.36E-10;13.658439;0.999999;-3.82E-10;13.658439;;;0;;;3.82E-10;3.36E-10;;;;;
-22.5;3.42E-10;13.834687;0.999999;-3.78E-10;13.834687;;;0;;;3.78E-10;3.42E-10;;;;;
-22;3.47E-10;14.011346;0.999999;-3.71E-10;14.011346;;;0;;;3.71E-10;3.47E-10;;;;;
-21.5001;3.44E-10;14.187598;0.999999;-3.62E-10;14.187598;;;0;;;3.62E-10;3.44E-10;;;;;
-21.0001;3.42E-10;14.363693;0.999999;-3.51E-10;14.363693;;;0;;;3.51E-10;3.42E-10;;;;;
-20.5001;3.52E-10;14.549771;0.999999;-3.43E-10;14.549771;;;0;;;3.43E-10;3.52E-10;;;;;
-20.0001;3.56E-10;14.725902;1;-3.36E-10;14.725902;;;0;;;3.36E-10;3.56E-10;;;;;
-19.5001;3.00E-10;14.934828;0.999999;-2.73E-10;14.934828;;;0;;;2.73E-10;3.00E-10;;;;;
-19;3.62E-10;15.110984;0.999999;-3.02E-10;15.110984;;;0;;;3.02E-10;3.62E-10;;;;;
-18.5;3.68E-10;15.287097;1;-2.84E-10;15.287097;;;0;;;2.84E-10;3.68E-10;;;;;
-18;3.78E-10;15.4633;0.999999;-2.70E-10;15.4633;;;0;;;2.70E-10;3.78E-10;;;;;
-17.5001;3.88E-10;15.639358;1;-2.33E-10;15.639358;;;0;;;2.33E-10;3.88E-10;;;;;
-17.0001;3.87E-10;15.815401;0.999999;-1.88E-10;15.815401;;;0;;;1.88E-10;3.87E-10;;;;;
-16.5;3.93E-10;15.991592;0.999999;-1.29E-10;15.991592;;;0;;;1.29E-10;3.93E-10;;;;;
-16.0001;3.99E-10;16.167723;1;-6.18E-11;16.167723;;;0;;;6.18E-11;3.99E-10;;;;;
-15.5;3.96E-10;16.343963;0.999999;3.64E-12;16.343963;;;1.91E-06;;;3.64E-12;3.96E-10;;;;;
-15.0001;3.90E-10;16.522568;1;9.40E-11;16.522568;;;9.70E-06;;;9.40E-11;3.90E-10;;;;;
-14.5001;4.08E-10;16.69872;1;2.38E-10;16.69872;;;1.54E-05;;;2.38E-10;4.08E-10;;;;;
-14;4.04E-10;16.874933;0.999999;3.60E-10;16.874933;;;1.90E-05;;;3.60E-10;4.04E-10;;;;;
-13.5;4.14E-10;17.05683;1;5.44E-10;17.05683;;;2.33E-05;;;5.44E-10;4.14E-10;;;;;
-13;4.19E-10;17.232935;0.999999;7.55E-10;17.232935;;;2.75E-05;;;7.55E-10;4.19E-10;;;;;
-12.5001;3.74E-10;17.437973;0.999999;1.03E-09;17.437973;;;3.21E-05;;;1.03E-09;3.74E-10;;;;;
-12;4.15E-10;17.614138;0.999999;1.26E-09;17.614138;;;3.55E-05;;;1.26E-09;4.15E-10;;;;;
-11.5001;4.32E-10;17.790235;0.999999;1.78E-09;17.790235;;;4.22E-05;;;1.78E-09;4.32E-10;;;;;
-11.0001;4.37E-10;17.967494;1;2.12E-09;17.967494;;;4.60E-05;;;2.12E-09;4.37E-10;;;;;
-10.5001;4.43E-10;18.143525;1;2.52E-09;18.143525;;;5.02E-05;;;2.52E-09;4.43E-10;;;;;
-10;4.50E-10;18.319779;1;3.11E-09;18.319779;;;5.58E-05;;;3.11E-09;4.50E-10;;;;;
-9.5001;4.48E-10;18.495906;1;3.65E-09;18.495906;;;6.04E-05;;;3.65E-09;4.48E-10;;;;;
-9;4.48E-10;18.67201;0.999999;3.96E-09;18.67201;;;6.29E-05;;;3.96E-09;4.48E-10;;;;;
-8.5;4.52E-10;18.848058;1;4.70E-09;18.848058;;;6.86E-05;;;4.70E-09;4.52E-10;;;;;
-8.0001;4.55E-10;19.024585;1.000002;5.43E-09;19.024585;;;7.37E-05;;;5.43E-09;4.55E-10;;;;;
-7.5001;4.66E-10;19.200638;1;6.25E-09;19.200638;;;7.91E-05;;;6.25E-09;4.66E-10;;;;;
-7.0001;4.71E-10;19.376837;0.999999;6.67E-09;19.376837;;;8.17E-05;;;6.67E-09;4.71E-10;;;;;
-6.5001;4.65E-10;19.564069;1;7.96E-09;19.564069;;;8.92E-05;;;7.96E-09;4.65E-10;;;;;
