#scan;iMeasureCycle=1;iMux=0;time=0.132;N=202;LocalTime=20/12/2023 12:05:47;;;;;;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VGate (V);|IDrain|, |IGate| (A);|IGate| (A);;|IDrain|^1/2 (A^1/2);;;IDS_off_avg
1.3;4.36E-10;6.311869;-10.00001;-6.21E-08;6.311869;;;1.3;6.21E-08;4.36E-10;;0.000249175;;;
1.19999;4.30E-10;6.483927;-10.00001;-6.68E-08;6.483927;;;1.19999;6.68E-08;4.30E-10;;0.000258479;;;
1.09999;4.21E-10;6.633696;-10.00001;-7.16E-08;6.633696;;;1.09999;7.16E-08;4.21E-10;;0.000267655;;;
1.00001;4.21E-10;6.7836;-10.00001;-7.71E-08;6.7836;;;1.00001;7.71E-08;4.21E-10;;0.000277717;;;
0.9;4.16E-10;6.933424;-10.00001;-8.41E-08;6.933424;;;0.9;8.41E-08;4.16E-10;;0.00029007;;;
0.79999;3.98E-10;7.083365;-10.00001;-9.33E-08;7.083365;;;0.79999;9.33E-08;3.98E-10;;0.000305404;;;
0.69999;3.49E-10;7.239077;-10;-1.08E-07;7.239077;;;0.69999;1.08E-07;3.49E-10;;0.000328055;;;
0.59999;2.57E-10;7.40118;-10;-1.34E-07;7.40118;;;0.59999;1.34E-07;2.57E-10;;0.000365781;;;
0.49999;1.33E-10;7.551091;-10;-1.84E-07;7.551091;;;0.49999;1.84E-07;1.33E-10;;0.000429396;;;
0.39999;2.66E-10;7.700964;-10;-2.68E-07;7.700964;;;0.39999;2.68E-07;2.66E-10;;0.000517696;;;
0.29999;2.99E-10;7.883431;-10;-3.84E-07;7.883431;;;0.29999;3.84E-07;2.99E-10;;0.000619326;;;
0.2;2.37E-10;8.033329;-10;-5.30E-07;8.033329;;;0.2;5.30E-07;2.37E-10;;0.00072798;;;
0.09999;1.79E-10;8.183204;-10;-7.05E-07;8.183204;;;0.09999;7.05E-07;1.79E-10;;0.000839587;;;
0;1.11E-10;8.332988;-10;-9.07E-07;8.332988;;;0;9.07E-07;1.11E-10;;0.000952393;;;
-0.10001;5.29E-11;8.492398;-10;-1.14E-06;8.492398;;;-0.10001;1.14E-06;5.29E-11;;0.001065749;;;
-0.20001;-2.51E-11;8.642267;-10;-1.39E-06;8.642267;;;-0.20001;1.39E-06;2.51E-11;;0.0011788;;;
-0.30001;-1.12E-10;8.792134;-10;-1.67E-06;8.792134;;;-0.30001;1.67E-06;1.12E-10;;0.001291073;;;
-0.4;-2.00E-10;8.942018;-10;-1.97E-06;8.942018;;;-0.4;1.97E-06;2.00E-10;;0.001402626;;;
-0.5;-2.90E-10;9.091957;-10;-2.29E-06;9.091957;;;-0.5;2.29E-06;2.90E-10;;0.001513255;;;
-0.60001;-3.92E-10;9.241862;-10;-2.63E-06;9.241862;;;-0.60001;2.63E-06;3.92E-10;;0.001622591;;;
-0.7;-4.87E-10;9.399241;-10;-3.00E-06;9.399241;;;-0.7;3.00E-06;4.87E-10;;0.001730676;;;
-0.8;-5.98E-10;9.549229;-10;-3.38E-06;9.549229;;;-0.8;3.38E-06;5.98E-10;;0.00183755;;;
-0.90001;-7.10E-10;9.699114;-10;-3.78E-06;9.699114;;;-0.90001;3.78E-06;7.10E-10;;0.001943461;;;
-1;-8.15E-10;9.873048;-10;-4.19E-06;9.873048;;;-1;4.19E-06;8.15E-10;;0.002047716;;;
-1.1;-9.45E-10;10.023006;-10;-4.63E-06;10.023006;;;-1.1;4.63E-06;9.45E-10;;0.002150884;;;
-1.20001;-1.07E-09;10.172843;-10;-5.07E-06;10.172843;;;-1.20001;5.07E-06;1.07E-09;;0.002252463;;;
-1.3;-1.20E-09;10.322757;-10;-5.54E-06;10.322757;;;-1.3;5.54E-06;1.20E-09;;0.002352735;;;
-1.4;-1.33E-09;10.494161;-10;-6.01E-06;10.494161;;;-1.4;6.01E-06;1.33E-09;;0.002451873;;;
-1.5;-1.46E-09;10.643966;-10;-6.50E-06;10.643966;;;-1.5;6.50E-06;1.46E-09;;0.002549763;;;
-1.60001;-1.60E-09;10.793892;-10;-7.01E-06;10.793892;;;-1.60001;7.01E-06;1.60E-09;;0.002646704;;;
-1.70001;-1.76E-09;10.943776;-10;-7.52E-06;10.943776;;;-1.70001;7.52E-06;1.76E-09;;0.002742238;;;
-1.8;-1.91E-09;11.093762;-10;-8.05E-06;11.093762;;;-1.8;8.05E-06;1.91E-09;;0.002836894;;;
-1.9;-2.06E-09;11.243732;-10;-8.59E-06;11.243732;;;-1.9;8.59E-06;2.06E-09;;0.002930543;;;
-2.00001;-2.21E-09;11.403578;-10;-9.14E-06;11.403578;;;-2.00001;9.14E-06;2.21E-09;;0.003023013;;;
-2.1;-2.38E-09;11.553559;-10;-9.70E-06;11.553559;;;-2.1;9.70E-06;2.38E-09;;0.00311415;;;
-2.20001;-2.55E-09;11.703384;-10;-1.03E-05;11.703384;;;-2.20001;1.03E-05;2.55E-09;;0.0032046;;;
-2.30001;-2.72E-09;11.8808;-10;-1.09E-05;11.8808;;;-2.30001;1.09E-05;2.72E-09;;0.00329492;;;
-2.40001;-2.92E-09;12.030784;-10;-1.14E-05;12.030784;;;-2.40001;1.14E-05;2.92E-09;;0.003383031;;;
-2.50001;-3.10E-09;12.180647;-10;-1.20E-05;12.180647;;;-2.50001;1.20E-05;3.10E-09;;0.003470692;;;
-2.6;-3.34E-09;12.330646;-10;-1.27E-05;12.330646;;;-2.6;1.27E-05;3.34E-09;;0.00355733;;;
-2.70001;-3.50E-09;12.499111;-10;-1.33E-05;12.499111;;;-2.70001;1.33E-05;3.50E-09;;0.00364298;;;
-2.80001;-3.76E-09;12.648905;-10;-1.39E-05;12.648905;;;-2.80001;1.39E-05;3.76E-09;;0.00372819;;;
-2.9;-3.92E-09;12.79883;-10;-1.45E-05;12.79883;;;-2.9;1.45E-05;3.92E-09;;0.003812125;;;
-3;-4.11E-09;12.948686;-10;-1.52E-05;12.948686;;;-3;1.52E-05;4.11E-09;;0.003895228;;;
-3.10001;-4.44E-09;13.099055;-10;-1.58E-05;13.099055;;;-3.10001;1.58E-05;4.44E-09;;0.00397711;;;
-3.20001;-4.61E-09;13.249015;-10;-1.65E-05;13.249015;;;-3.20001;1.65E-05;4.61E-09;;0.004058522;;;
-3.30001;-4.81E-09;13.427145;-10;-1.71E-05;13.427145;;;-3.30001;1.71E-05;4.81E-09;;0.00413965;;;
-3.40001;-5.07E-09;13.577094;-10;-1.78E-05;13.577094;;;-3.40001;1.78E-05;5.07E-09;;0.004219265;;;
-3.5;-5.39E-09;13.726952;-10;-1.85E-05;13.726952;;;-3.5;1.85E-05;5.39E-09;;0.004298383;;;
-3.60001;-5.59E-09;13.909853;-10;-1.92E-05;13.909853;;;-3.60001;1.92E-05;5.59E-09;;0.004377077;;;
-3.70001;-5.86E-09;14.059708;-10;-1.98E-05;14.059708;;;-3.70001;1.98E-05;5.86E-09;;0.004455031;;;
-3.80001;-6.27E-09;14.209611;-10;-2.05E-05;14.209611;;;-3.80001;2.05E-05;6.27E-09;;0.004532229;;;
-3.9;-6.56E-09;14.383834;-10;-2.12E-05;14.383834;;;-3.9;2.12E-05;6.56E-09;;0.004608123;;;
-4;-7.02E-09;14.53375;-10;-2.19E-05;14.53375;;;-4;0.000021937;7.02E-09;;0.004683695;;;
-4.10001;-7.47E-09;14.68366;-10;-2.26E-05;14.68366;;;-4.10001;2.26E-05;7.47E-09;;0.004758582;;;
-4.20001;-8.14E-09;14.833525;-10;-2.34E-05;14.833525;;;-4.20001;2.34E-05;8.14E-09;;0.004832608;;;
-4.30001;-8.73E-09;15.005416;-10;-2.41E-05;15.005416;;;-4.30001;2.41E-05;8.73E-09;;0.004906679;;;
-4.4;-9.32E-09;15.149259;-10;-2.48E-05;15.149259;;;-4.4;0.000024795;9.32E-09;;0.004979458;;;
-4.5;-9.67E-09;15.293233;-10;-2.55E-05;15.293233;;;-4.5;2.55E-05;9.67E-09;;0.005051693;;;
-4.6;-1.03E-08;15.437125;-10;-2.62E-05;15.437125;;;-4.6;2.62E-05;1.03E-08;;0.005123163;;;
-4.7;-1.10E-08;15.581063;-10;-2.70E-05;15.581063;;;-4.7;2.70E-05;1.10E-08;;0.005194545;;;
-4.8;-1.16E-08;15.724922;-10;-2.77E-05;15.724922;;;-4.8;2.77E-05;1.16E-08;;0.005265045;;;
-4.9;-1.23E-08;15.898984;-10;-2.85E-05;15.898984;;;-4.9;2.85E-05;1.23E-08;;0.00533496;;;
-5;-1.28E-08;16.042896;-10;-2.92E-05;16.042896;;;-5;2.92E-05;1.28E-08;;0.005404063;;;
-5;-1.24E-08;16.166407;-10;-2.92E-05;16.166407;;;-5;2.92E-05;1.24E-08;;0.005404091;;;
-4.9;-1.16E-08;16.310347;-10;-2.84E-05;16.310347;;;-4.9;2.84E-05;1.16E-08;;0.005333779;;;
-4.79999;-1.16E-08;16.454225;-10;-2.77E-05;16.454225;;;-4.79999;2.77E-05;1.16E-08;;0.005263601;;;
-4.70001;-1.09E-08;16.577811;-10;-2.70E-05;16.577811;;;-4.70001;2.70E-05;1.09E-08;;0.005192938;;;
-4.6;-1.10E-08;16.721723;-10;-2.62E-05;16.721723;;;-4.6;2.62E-05;1.10E-08;;0.005121357;;;
-4.50001;-1.00E-08;16.845234;-10;-2.55E-05;16.845234;;;-4.50001;2.55E-05;1.00E-08;;0.005049366;;;
-4.40001;-9.80E-09;16.98498;-10;-2.48E-05;16.98498;;;-4.40001;2.48E-05;9.80E-09;;0.004976887;;;
-4.3;-9.17E-09;17.128815;-10;-2.41E-05;17.128815;;;-4.3;2.41E-05;9.17E-09;;0.004904131;;;
-4.2;-8.88E-09;17.278803;-10;-2.33E-05;17.278803;;;-4.2;2.33E-05;8.88E-09;;0.004830269;;;
-4.1;-8.55E-09;17.428697;-10;-2.26E-05;17.428697;;;-4.1;2.26E-05;8.55E-09;;0.00475607;;;
-4;-7.69E-09;17.578566;-10;-2.19E-05;17.578566;;;-4;2.19E-05;7.69E-09;;0.004680748;;;
-3.9;-7.54E-09;17.728404;-10;-2.12E-05;17.728404;;;-3.9;2.12E-05;7.54E-09;;0.004604921;;;
-3.80001;-7.32E-09;17.909194;-10;-2.05E-05;17.909194;;;-3.80001;2.05E-05;7.32E-09;;0.004528852;;;
-3.70001;-6.94E-09;18.059064;-10;-1.98E-05;18.059064;;;-3.70001;1.98E-05;6.94E-09;;0.004451775;;;
-3.6;-6.26E-09;18.208924;-10;-1.91E-05;18.208924;;;-3.6;1.91E-05;6.26E-09;;0.004374094;;;
-3.50001;-6.06E-09;18.358737;-10;-1.85E-05;18.358737;;;-3.50001;1.85E-05;6.06E-09;;0.00429594;;;
-3.4;-5.54E-09;18.51406;-10;-1.78E-05;18.51406;;;-3.4;1.78E-05;5.54E-09;;0.004216491;;;
-3.3;-5.19E-09;18.663901;-10;-1.71E-05;18.663901;;;-3.3;1.71E-05;5.19E-09;;0.004136992;;;
-3.2;-5.11E-09;18.813756;-10;-1.65E-05;18.813756;;;-3.2;1.65E-05;5.11E-09;;0.004055971;;;
-3.1;-4.71E-09;18.96362;-10;-1.58E-05;18.96362;;;-3.1;1.58E-05;4.71E-09;;0.003974431;;;
-3.00001;-4.32E-09;19.113954;-10;-1.51E-05;19.113954;;;-3.00001;1.51E-05;4.32E-09;;0.003892146;;;
-2.90001;-4.03E-09;19.264016;-10;-1.45E-05;19.264016;;;-2.90001;1.45E-05;4.03E-09;;0.003808976;;;
-2.8;-3.74E-09;19.424275;-10;-1.39E-05;19.424275;;;-2.8;1.39E-05;3.74E-09;;0.003724701;;;
-2.70001;-3.49E-09;19.574452;-10;-1.33E-05;19.574452;;;-2.70001;1.33E-05;3.49E-09;;0.003640069;;;
-2.60001;-3.24E-09;19.724339;-10;-1.26E-05;19.724339;;;-2.60001;1.26E-05;3.24E-09;;0.003554265;;;
-2.50001;-2.95E-09;19.899631;-10;-1.20E-05;19.899631;;;-2.50001;1.20E-05;2.95E-09;;0.003467578;;;
-2.4;-2.75E-09;20.04954;-10;-1.14E-05;20.04954;;;-2.4;1.14E-05;2.75E-09;;0.003380059;;;
-2.30001;-2.52E-09;20.199516;-10;-1.08E-05;20.199516;;;-2.30001;1.08E-05;2.52E-09;;0.003291535;;;
-2.20001;-2.34E-09;20.349406;-10;-1.03E-05;20.349406;;;-2.20001;1.03E-05;2.34E-09;;0.003202437;;;
-2.1;-2.12E-09;20.519148;-10;-9.69E-06;20.519148;;;-2.1;0.000009686;2.12E-09;;0.003112234;;;
-2;-1.91E-09;20.668972;-10;-9.12E-06;20.668972;;;-2;9.12E-06;1.91E-09;;0.003020629;;;
-1.90001;-1.70E-09;20.821513;-10;-8.57E-06;20.821513;;;-1.90001;8.57E-06;1.70E-09;;0.002927316;;;
-1.80001;-1.53E-09;20.971303;-10;-8.03E-06;20.971303;;;-1.80001;8.03E-06;1.53E-09;;0.002833454;;;
-1.70001;-1.35E-09;21.121157;-10;-7.50E-06;21.121157;;;-1.70001;7.50E-06;1.35E-09;;0.002739106;;;
-1.6;-1.19E-09;21.271059;-10;-6.99E-06;21.271059;;;-1.6;6.99E-06;1.19E-09;;0.002642947;;;
