#scan;iMeasureCycle=1;iMux=0;time=0.129;N=210;LocalTime=20/12/2023 12:02:21;;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;;VDrain (V);|IDrain| (A)
-2.49999;-6.32E-09;21.443517;-0.5;-3.04E-06;21.443517;;;;-0.5;3.03632E-06
-2.5;-5.48E-09;21.593407;-1;-5.73E-06;21.593407;;;;-1;5.73254E-06
-2.5;-4.72E-09;21.743244;-1.5;-7.91E-06;21.743244;;;;-1.5;7.90923E-06
-2.49999;-4.12E-09;21.934864;-2;-9.57E-06;21.934864;;;;-2;9.5691E-06
-2.50001;-3.66E-09;22.084754;-2.5;-1.07E-05;22.084754;;;;-2.5;0.000010704
-2.5;-3.27E-09;22.234553;-3;-1.13E-05;22.234553;;;;-3;1.13383E-05
-2.50001;-3.21E-09;22.406415;-3.5;-1.16E-05;22.406415;;;;-3.5;1.15963E-05
-2.5;-3.36E-09;22.556226;-4;-1.17E-05;22.556226;;;;-4;1.17045E-05
-2.5;-3.39E-09;22.706168;-4.5;-1.18E-05;22.706168;;;;-4.5;1.17693E-05
-2.5;-3.44E-09;22.856131;-5;-1.18E-05;22.856131;;;;-5;1.18126E-05
-2.5;-3.42E-09;23.025723;-5.5;-1.18E-05;23.025723;;;;-5.5;1.18486E-05
-2.5;-3.45E-09;23.175482;-6;-1.19E-05;23.175482;;;;-6;1.18791E-05
-2.50001;-3.43E-09;23.325398;-6.5;-1.19E-05;23.325398;;;;-6.5;1.19041E-05
-2.5;-3.43E-09;23.475256;-7;-1.19E-05;23.475256;;;;-7;1.19259E-05
-2.5;-3.42E-09;23.625811;-7.5;-1.19E-05;23.625811;;;;-7.5;1.19465E-05
-2.5;-3.45E-09;23.775701;-8;-1.20E-05;23.775701;;;;-8;1.19651E-05
-2.50001;-3.42E-09;23.940208;-8.5;-1.20E-05;23.940208;;;;-8.5;1.19814E-05
-2.5;-3.39E-09;24.090042;-9;-1.20E-05;24.090042;;;;-9;1.19992E-05
-2.50001;-3.45E-09;24.239887;-9.5;-1.20E-05;24.239887;;;;-9.5;1.20162E-05
-2.50001;-3.42E-09;24.415477;-10;-1.20E-05;24.415477;;;;-10;1.20275E-05
-2.50001;-3.39E-09;24.538043;-10;-1.20E-05;24.538043;;;;-10;1.20282E-05
-2.5;-3.35E-09;24.687891;-9.5;-1.20E-05;24.687891;;;;-9.5;1.20129E-05
-2.50001;-3.31E-09;24.837945;-9;-1.20E-05;24.837945;;;;-9;1.19981E-05
-2.50001;-3.34E-09;24.987802;-8.5;-1.20E-05;24.987802;;;;-8.5;1.19808E-05
-2.50001;-3.32E-09;25.137666;-8;-1.20E-05;25.137666;;;;-8;1.19634E-05
-2.5;-3.37E-09;25.287537;-7.5;-1.19E-05;25.287537;;;;-7.5;1.19423E-05
-2.5;-3.40E-09;25.444392;-7;-1.19E-05;25.444392;;;;-7;1.19228E-05
